Descriptors,Interpretation
Asphericity,A descriptor that measures the deviation from the spherical shape
Autocorr3D,3D Autocorrelation
BalabanJ,"»ндекс рассто€ний-св€зности Ѕалабана J. используетс€ информаци€, содержаща€с€ в матрице топологических рассто€ний между атомами. It was called Уaveraged distance sum connectivityФ in the original article of Balaban"
BCUT2D_CHGHI,Descriptor based on Burden matrix which takes into account both the connectivity as well as atomic properties of a molecule. Gasteiger charge eigen value high
BCUT2D_CHGLO,Descriptor based on Burden matrix which takes into account both the connectivity as well as atomic properties of a molecule. Gasteiger charge eigen value low
BCUT2D_LOGPHI,Descriptor based on Burden matrix which takes into account both the connectivity as well as atomic properties of a molecule. Crippen lowgp eigen value high
BCUT2D_LOGPLOW,Descriptor based on Burden matrix which takes into account both the connectivity as well as atomic properties of a molecule. Crippen lowgp eigen value low
BCUT2D_MRHI,Descriptor based on Burden matrix which takes into account both the connectivity as well as atomic properties of a molecule. Crippen mr eigen value high
BCUT2D_MRLOW,Descriptor based on Burden matrix which takes into account both the connectivity as well as atomic properties of a molecule. Crippen mr eigen value low
BCUT2D_MWHI,Descriptor based on Burden matrix which takes into account both the connectivity as well as atomic properties of a molecule. Mass eigen value high
BCUT2D_MWLOW,Descriptor based on Burden matrix which takes into account both the connectivity as well as atomic properties of a molecule. Mass eigen value low
BertzCT,"A topological index meant to quantify ""complexity"""
Chi0,
Chi0n,
Chi0v,
Chi1,
Chi1n,
Chi1v,
Chi2n,
Chi2v,
Chi3n,
Chi3v,
Chi4n,
Chi4v,
Eccentricity,
EState_VSA1,"If we assume that the shape of each atom is a sphere with radius equal to the van der Waals radius, we obtain the van der Waals surface area (VSA) for each atom. Each VSA-type descriptor can be characterized as the amount of surface area with property in a certain range. Electrotopological state index"
EState_VSA10,"If we assume that the shape of each atom is a sphere with radius equal to the van der Waals radius, we obtain the van der Waals surface area (VSA) for each atom. Each VSA-type descriptor can be characterized as the amount of surface area with property in a certain range. Electrotopological state index"
EState_VSA11,"If we assume that the shape of each atom is a sphere with radius equal to the van der Waals radius, we obtain the van der Waals surface area (VSA) for each atom. Each VSA-type descriptor can be characterized as the amount of surface area with property in a certain range. Electrotopological state index"
EState_VSA2,"If we assume that the shape of each atom is a sphere with radius equal to the van der Waals radius, we obtain the van der Waals surface area (VSA) for each atom. Each VSA-type descriptor can be characterized as the amount of surface area with property in a certain range. Electrotopological state index"
EState_VSA3,"If we assume that the shape of each atom is a sphere with radius equal to the van der Waals radius, we obtain the van der Waals surface area (VSA) for each atom. Each VSA-type descriptor can be characterized as the amount of surface area with property in a certain range. Electrotopological state index"
EState_VSA4,"If we assume that the shape of each atom is a sphere with radius equal to the van der Waals radius, we obtain the van der Waals surface area (VSA) for each atom. Each VSA-type descriptor can be characterized as the amount of surface area with property in a certain range. Electrotopological state index"
EState_VSA5,"If we assume that the shape of each atom is a sphere with radius equal to the van der Waals radius, we obtain the van der Waals surface area (VSA) for each atom. Each VSA-type descriptor can be characterized as the amount of surface area with property in a certain range. Electrotopological state index"
