Component_1,Smiles_1,Component_2,Smiles_2,T_EP,X_1,sig2#1,sig3#1,sig4#1,sig5#1,sig6#1,Hb_acc3#1,Hb_don3#1,Volume#1,E_diel#1,av_dE#1,E_vdw#1,E_ring#1,mu_gas#1,sig2#2,sig3#2,sig4#2,sig5#2,sig6#2,Hb_acc3#2,Hb_don3#2,Volume#2,E_diel#2,av_dE#2,E_vdw#2,E_ring#2,mu_gas#2,WAPS#1,WANS#1,WAPS#2,WANS#2
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.7,0.1,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.6,0.102,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.8,0.202,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.9,0.203,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],425.5,0.301,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],427.6,0.302,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.5,0.399,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377,0.4,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0.499,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0.503,168.6503,150.1987,366.9612,516.4219,988.3753,18.9693,0.3316,194.9906,-41.9461,0.6179,7.9151,-0.9446,-15.5336,171.9745,120.106,311.401,376.8907,713.9818,15.0395,0.229,188.1524,-43.9005,0.6451,6.901,0,-16.944,0.012535272,-0.005712217,0.012944751,-0.006715318
