Component_1,Smiles_1,Component_2,Smiles_2,T_EP,X_1,profile_1#1,profile_2#1,profile_3#1,profile_4#1,profile_5#1,profile_6#1,profile_7#1,profile_8#1,profile_9#1,profile_10#1,profile_1#2,profile_2#2,profile_3#2,profile_4#2,profile_5#2,profile_6#2,profile_7#2,profile_8#2,profile_9#2,profile_10#2
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.7,0.1,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],525.6,0.102,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.8,0.202,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],478.9,0.203,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],425.5,0.301,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],427.6,0.302,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377.5,0.399,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],377,0.4,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0.499,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
[C2Mim]Cl,CCn1cc[n+](C)c1.[Cl-],ChCl,C[N+](C)(C)CCO.[Cl-],337.1,0.503,0,0,0.7515,3.991033333,5.587266667,1.8278,0.159633333,0.4257,3.405533333,0.003466667,0,0,0.57,5.176133333,3.3072,0.487933333,0.674133333,1.1266,3.000666667,0.001833333
