
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02084    -0.02205    -0.03561    -0.00775     0.30627    -0.56257 ;

   sigma     mu(1)
  -0.030    -0.959
  -0.029    -0.922
  -0.028    -0.884
  -0.027    -0.844
  -0.026    -0.802
  -0.025    -0.759
  -0.024    -0.714
  -0.023    -0.668
  -0.022    -0.621
  -0.021    -0.572
  -0.020    -0.521
  -0.019    -0.469
  -0.018    -0.416
  -0.017    -0.362
  -0.016    -0.306
  -0.015    -0.249
  -0.014    -0.193
  -0.013    -0.137
  -0.012    -0.084
  -0.011    -0.037
  -0.010     0.000
  -0.009     0.026
  -0.008     0.037
  -0.007     0.033
  -0.006     0.025
  -0.005     0.016
  -0.004     0.006
  -0.003    -0.003
  -0.002    -0.013
  -0.001    -0.022
   0.000    -0.031
   0.001    -0.039
   0.002    -0.047
   0.003    -0.053
   0.004    -0.059
   0.005    -0.064
   0.006    -0.067
   0.007    -0.070
   0.008    -0.071
   0.009    -0.072
   0.010    -0.073
   0.011    -0.074
   0.012    -0.074
   0.013    -0.073
   0.014    -0.072
   0.015    -0.069
   0.016    -0.065
   0.017    -0.061
   0.018    -0.055
   0.019    -0.049
   0.020    -0.042
   0.021    -0.034
   0.022    -0.024
   0.023    -0.014
   0.024    -0.003
   0.025     0.009
   0.026     0.022
   0.027     0.037
   0.028     0.052
   0.029     0.068
   0.030     0.086
