
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03579     0.02579     0.04807    -0.01595    -0.10177    -0.85555 ;

   sigma     mu(1)
  -0.030    -1.021
  -0.029    -0.962
  -0.028    -0.902
  -0.027    -0.842
  -0.026    -0.781
  -0.025    -0.721
  -0.024    -0.660
  -0.023    -0.599
  -0.022    -0.539
  -0.021    -0.480
  -0.020    -0.422
  -0.019    -0.364
  -0.018    -0.308
  -0.017    -0.254
  -0.016    -0.202
  -0.015    -0.153
  -0.014    -0.109
  -0.013    -0.071
  -0.012    -0.042
  -0.011    -0.023
  -0.010    -0.012
  -0.009    -0.009
  -0.008    -0.010
  -0.007    -0.016
  -0.006    -0.022
  -0.005    -0.027
  -0.004    -0.032
  -0.003    -0.036
  -0.002    -0.039
  -0.001    -0.041
   0.000    -0.042
   0.001    -0.042
   0.002    -0.041
   0.003    -0.039
   0.004    -0.036
   0.005    -0.031
   0.006    -0.026
   0.007    -0.020
   0.008    -0.013
   0.009    -0.004
   0.010     0.005
   0.011     0.014
   0.012     0.024
   0.013     0.034
   0.014     0.044
   0.015     0.053
   0.016     0.059
   0.017     0.061
   0.018     0.058
   0.019     0.048
   0.020     0.032
   0.021     0.010
   0.022    -0.017
   0.023    -0.047
   0.024    -0.080
   0.025    -0.113
   0.026    -0.146
   0.027    -0.178
   0.028    -0.211
   0.029    -0.242
   0.030    -0.272
