
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.09301    -0.19667     0.04741     0.02521    -0.69762    -0.06674 ;

   sigma     mu(1)
  -0.030     0.094
  -0.029     0.108
  -0.028     0.123
  -0.027     0.139
  -0.026     0.156
  -0.025     0.173
  -0.024     0.192
  -0.023     0.210
  -0.022     0.228
  -0.021     0.244
  -0.020     0.257
  -0.019     0.265
  -0.018     0.267
  -0.017     0.262
  -0.016     0.250
  -0.015     0.232
  -0.014     0.210
  -0.013     0.186
  -0.012     0.161
  -0.011     0.135
  -0.010     0.109
  -0.009     0.084
  -0.008     0.060
  -0.007     0.037
  -0.006     0.014
  -0.005    -0.007
  -0.004    -0.027
  -0.003    -0.047
  -0.002    -0.065
  -0.001    -0.082
   0.000    -0.098
   0.001    -0.113
   0.002    -0.128
   0.003    -0.141
   0.004    -0.153
   0.005    -0.164
   0.006    -0.175
   0.007    -0.184
   0.008    -0.193
   0.009    -0.201
   0.010    -0.223
   0.011    -0.250
   0.012    -0.282
   0.013    -0.318
   0.014    -0.358
   0.015    -0.401
   0.016    -0.445
   0.017    -0.490
   0.018    -0.536
   0.019    -0.582
   0.020    -0.628
   0.021    -0.673
   0.022    -0.718
   0.023    -0.762
   0.024    -0.805
   0.025    -0.847
   0.026    -0.888
   0.027    -0.928
   0.028    -0.967
   0.029    -1.006
   0.030    -1.043
