
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02946     0.03463    -0.03207    -0.00616     0.33792    -0.41303 ;

   sigma     mu(1)
  -0.030    -0.883
  -0.029    -0.852
  -0.028    -0.821
  -0.027    -0.788
  -0.026    -0.753
  -0.025    -0.718
  -0.024    -0.681
  -0.023    -0.643
  -0.022    -0.604
  -0.021    -0.564
  -0.020    -0.522
  -0.019    -0.479
  -0.018    -0.435
  -0.017    -0.390
  -0.016    -0.343
  -0.015    -0.296
  -0.014    -0.247
  -0.013    -0.199
  -0.012    -0.152
  -0.011    -0.107
  -0.010    -0.067
  -0.009    -0.034
  -0.008    -0.013
  -0.007    -0.010
  -0.006    -0.014
  -0.005    -0.018
  -0.004    -0.022
  -0.003    -0.027
  -0.002    -0.032
  -0.001    -0.036
   0.000    -0.040
   0.001    -0.043
   0.002    -0.045
   0.003    -0.046
   0.004    -0.046
   0.005    -0.045
   0.006    -0.043
   0.007    -0.039
   0.008    -0.034
   0.009    -0.028
   0.010    -0.021
   0.011    -0.013
   0.012    -0.003
   0.013     0.007
   0.014     0.019
   0.015     0.032
   0.016     0.047
   0.017     0.062
   0.018     0.079
   0.019     0.097
   0.020     0.116
   0.021     0.136
   0.022     0.157
   0.023     0.180
   0.024     0.204
   0.025     0.228
   0.026     0.254
   0.027     0.282
   0.028     0.310
   0.029     0.339
   0.030     0.370
