
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02284     0.03130     0.01997    -0.02015    -0.07248    -0.76973 ;

   sigma     mu(1)
  -0.030    -0.904
  -0.029    -0.863
  -0.028    -0.821
  -0.027    -0.777
  -0.026    -0.732
  -0.025    -0.686
  -0.024    -0.640
  -0.023    -0.592
  -0.022    -0.544
  -0.021    -0.494
  -0.020    -0.444
  -0.019    -0.394
  -0.018    -0.344
  -0.017    -0.293
  -0.016    -0.243
  -0.015    -0.194
  -0.014    -0.147
  -0.013    -0.104
  -0.012    -0.066
  -0.011    -0.036
  -0.010    -0.014
  -0.009     0.000
  -0.008     0.005
  -0.007     0.002
  -0.006    -0.004
  -0.005    -0.010
  -0.004    -0.015
  -0.003    -0.020
  -0.002    -0.024
  -0.001    -0.028
   0.000    -0.030
   0.001    -0.032
   0.002    -0.033
   0.003    -0.032
   0.004    -0.031
   0.005    -0.029
   0.006    -0.025
   0.007    -0.021
   0.008    -0.015
   0.009    -0.008
   0.010    -0.002
   0.011     0.003
   0.012     0.007
   0.013     0.010
   0.014     0.010
   0.015     0.006
   0.016    -0.003
   0.017    -0.017
   0.018    -0.036
   0.019    -0.060
   0.020    -0.088
   0.021    -0.119
   0.022    -0.152
   0.023    -0.185
   0.024    -0.219
   0.025    -0.253
   0.026    -0.286
   0.027    -0.319
   0.028    -0.351
   0.029    -0.382
   0.030    -0.412
