
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02722     0.04751    -0.04654    -0.00772     0.40638    -0.49757 ;

   sigma     mu(1)
  -0.030    -1.140
  -0.029    -1.097
  -0.028    -1.054
  -0.027    -1.009
  -0.026    -0.963
  -0.025    -0.916
  -0.024    -0.868
  -0.023    -0.818
  -0.022    -0.767
  -0.021    -0.715
  -0.020    -0.661
  -0.019    -0.606
  -0.018    -0.550
  -0.017    -0.493
  -0.016    -0.434
  -0.015    -0.375
  -0.014    -0.314
  -0.013    -0.254
  -0.012    -0.193
  -0.011    -0.136
  -0.010    -0.084
  -0.009    -0.042
  -0.008    -0.014
  -0.007    -0.011
  -0.006    -0.014
  -0.005    -0.018
  -0.004    -0.022
  -0.003    -0.027
  -0.002    -0.032
  -0.001    -0.037
   0.000    -0.040
   0.001    -0.043
   0.002    -0.045
   0.003    -0.046
   0.004    -0.046
   0.005    -0.045
   0.006    -0.042
   0.007    -0.039
   0.008    -0.033
   0.009    -0.027
   0.010    -0.020
   0.011    -0.011
   0.012     0.000
   0.013     0.010
   0.014     0.023
   0.015     0.037
   0.016     0.052
   0.017     0.068
   0.018     0.086
   0.019     0.105
   0.020     0.125
   0.021     0.146
   0.022     0.168
   0.023     0.192
   0.024     0.217
   0.025     0.243
   0.026     0.270
   0.027     0.299
   0.028     0.328
   0.029     0.359
   0.030     0.391
