
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02814     0.01844    -0.03773    -0.00664     0.36391    -0.41164 ;

   sigma     mu(1)
  -0.030    -0.852
  -0.029    -0.824
  -0.028    -0.795
  -0.027    -0.764
  -0.026    -0.732
  -0.025    -0.698
  -0.024    -0.663
  -0.023    -0.626
  -0.022    -0.588
  -0.021    -0.549
  -0.020    -0.508
  -0.019    -0.465
  -0.018    -0.422
  -0.017    -0.377
  -0.016    -0.330
  -0.015    -0.283
  -0.014    -0.235
  -0.013    -0.186
  -0.012    -0.139
  -0.011    -0.093
  -0.010    -0.053
  -0.009    -0.021
  -0.008     0.000
  -0.007     0.002
  -0.006    -0.002
  -0.005    -0.008
  -0.004    -0.014
  -0.003    -0.020
  -0.002    -0.027
  -0.001    -0.033
   0.000    -0.039
   0.001    -0.044
   0.002    -0.048
   0.003    -0.051
   0.004    -0.053
   0.005    -0.054
   0.006    -0.054
   0.007    -0.053
   0.008    -0.050
   0.009    -0.046
   0.010    -0.041
   0.011    -0.035
   0.012    -0.028
   0.013    -0.019
   0.014    -0.009
   0.015     0.002
   0.016     0.015
   0.017     0.028
   0.018     0.043
   0.019     0.060
   0.020     0.077
   0.021     0.096
   0.022     0.116
   0.023     0.137
   0.024     0.160
   0.025     0.184
   0.026     0.209
   0.027     0.235
   0.028     0.263
   0.029     0.291
   0.030     0.321
