
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02710     0.03391     0.03158    -0.01816    -0.45199    -0.43119 ;

   sigma     mu(1)
  -0.030    -0.261
  -0.029    -0.255
  -0.028    -0.247
  -0.027    -0.239
  -0.026    -0.230
  -0.025    -0.219
  -0.024    -0.207
  -0.023    -0.195
  -0.022    -0.182
  -0.021    -0.167
  -0.020    -0.152
  -0.019    -0.137
  -0.018    -0.121
  -0.017    -0.105
  -0.016    -0.089
  -0.015    -0.074
  -0.014    -0.059
  -0.013    -0.046
  -0.012    -0.034
  -0.011    -0.025
  -0.010    -0.018
  -0.009    -0.013
  -0.008    -0.010
  -0.007    -0.013
  -0.006    -0.017
  -0.005    -0.020
  -0.004    -0.023
  -0.003    -0.026
  -0.002    -0.028
  -0.001    -0.029
   0.000    -0.030
   0.001    -0.030
   0.002    -0.029
   0.003    -0.028
   0.004    -0.026
   0.005    -0.023
   0.006    -0.019
   0.007    -0.015
   0.008    -0.009
   0.009    -0.003
   0.010     0.001
   0.011     0.002
   0.012     0.000
   0.013    -0.011
   0.014    -0.032
   0.015    -0.065
   0.016    -0.108
   0.017    -0.159
   0.018    -0.215
   0.019    -0.274
   0.020    -0.334
   0.021    -0.395
   0.022    -0.456
   0.023    -0.517
   0.024    -0.577
   0.025    -0.636
   0.026    -0.694
   0.027    -0.752
   0.028    -0.808
   0.029    -0.863
   0.030    -0.917
