
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03008     0.04532    -0.02533    -0.00816     0.31657    -0.45449 ;

   sigma     mu(1)
  -0.030    -0.903
  -0.029    -0.871
  -0.028    -0.839
  -0.027    -0.804
  -0.026    -0.769
  -0.025    -0.732
  -0.024    -0.695
  -0.023    -0.656
  -0.022    -0.615
  -0.021    -0.574
  -0.020    -0.531
  -0.019    -0.487
  -0.018    -0.442
  -0.017    -0.396
  -0.016    -0.348
  -0.015    -0.300
  -0.014    -0.252
  -0.013    -0.203
  -0.012    -0.155
  -0.011    -0.110
  -0.010    -0.071
  -0.009    -0.039
  -0.008    -0.019
  -0.007    -0.017
  -0.006    -0.020
  -0.005    -0.023
  -0.004    -0.027
  -0.003    -0.031
  -0.002    -0.035
  -0.001    -0.038
   0.000    -0.041
   0.001    -0.042
   0.002    -0.043
   0.003    -0.043
   0.004    -0.041
   0.005    -0.039
   0.006    -0.035
   0.007    -0.030
   0.008    -0.024
   0.009    -0.016
   0.010    -0.008
   0.011     0.002
   0.012     0.012
   0.013     0.024
   0.014     0.037
   0.015     0.051
   0.016     0.066
   0.017     0.082
   0.018     0.098
   0.019     0.116
   0.020     0.134
   0.021     0.152
   0.022     0.172
   0.023     0.191
   0.024     0.211
   0.025     0.231
   0.026     0.250
   0.027     0.270
   0.028     0.289
   0.029     0.309
   0.030     0.327
