
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.10925    -0.16827     0.05371     0.00281    -0.08875    -0.02756 ;

   sigma     mu(1)
  -0.030     0.755
  -0.029     0.715
  -0.028     0.675
  -0.027     0.638
  -0.026     0.601
  -0.025     0.565
  -0.024     0.530
  -0.023     0.496
  -0.022     0.463
  -0.021     0.431
  -0.020     0.399
  -0.019     0.368
  -0.018     0.337
  -0.017     0.307
  -0.016     0.277
  -0.015     0.248
  -0.014     0.220
  -0.013     0.191
  -0.012     0.163
  -0.011     0.136
  -0.010     0.109
  -0.009     0.083
  -0.008     0.058
  -0.007     0.033
  -0.006     0.009
  -0.005    -0.013
  -0.004    -0.035
  -0.003    -0.056
  -0.002    -0.075
  -0.001    -0.094
   0.000    -0.111
   0.001    -0.127
   0.002    -0.142
   0.003    -0.155
   0.004    -0.168
   0.005    -0.178
   0.006    -0.188
   0.007    -0.196
   0.008    -0.203
   0.009    -0.208
   0.010    -0.219
   0.011    -0.229
   0.012    -0.238
   0.013    -0.246
   0.014    -0.253
   0.015    -0.260
   0.016    -0.265
   0.017    -0.270
   0.018    -0.273
   0.019    -0.276
   0.020    -0.277
   0.021    -0.278
   0.022    -0.277
   0.023    -0.275
   0.024    -0.273
   0.025    -0.269
   0.026    -0.264
   0.027    -0.258
   0.028    -0.250
   0.029    -0.242
   0.030    -0.232
