
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02095     0.02556     0.02455    -0.01302    -0.28595    -0.55199 ;

   sigma     mu(1)
  -0.030    -0.604
  -0.029    -0.579
  -0.028    -0.553
  -0.027    -0.525
  -0.026    -0.496
  -0.025    -0.466
  -0.024    -0.434
  -0.023    -0.402
  -0.022    -0.369
  -0.021    -0.334
  -0.020    -0.299
  -0.019    -0.264
  -0.018    -0.228
  -0.017    -0.193
  -0.016    -0.158
  -0.015    -0.125
  -0.014    -0.094
  -0.013    -0.066
  -0.012    -0.043
  -0.011    -0.025
  -0.010    -0.013
  -0.009    -0.005
  -0.008    -0.001
  -0.007    -0.004
  -0.006    -0.009
  -0.005    -0.013
  -0.004    -0.017
  -0.003    -0.020
  -0.002    -0.023
  -0.001    -0.025
   0.000    -0.026
   0.001    -0.026
   0.002    -0.026
   0.003    -0.024
   0.004    -0.022
   0.005    -0.019
   0.006    -0.015
   0.007    -0.011
   0.008    -0.005
   0.009     0.002
   0.010     0.005
   0.011     0.006
   0.012     0.004
   0.013    -0.002
   0.014    -0.014
   0.015    -0.032
   0.016    -0.057
   0.017    -0.087
   0.018    -0.121
   0.019    -0.158
   0.020    -0.197
   0.021    -0.237
   0.022    -0.278
   0.023    -0.318
   0.024    -0.358
   0.025    -0.397
   0.026    -0.435
   0.027    -0.472
   0.028    -0.509
   0.029    -0.544
   0.030    -0.578
