
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:      0.01506    -0.00195    -0.02193    -0.01329     0.03456    -0.66072 ;

   sigma     mu(1)
  -0.030    -1.042
  -0.029    -0.990
  -0.028    -0.937
  -0.027    -0.884
  -0.026    -0.829
  -0.025    -0.773
  -0.024    -0.717
  -0.023    -0.659
  -0.022    -0.602
  -0.021    -0.544
  -0.020    -0.485
  -0.019    -0.427
  -0.018    -0.368
  -0.017    -0.310
  -0.016    -0.253
  -0.015    -0.197
  -0.014    -0.144
  -0.013    -0.094
  -0.012    -0.050
  -0.011    -0.014
  -0.010     0.014
  -0.009     0.033
  -0.008     0.044
  -0.007     0.043
  -0.006     0.039
  -0.005     0.034
  -0.004     0.029
  -0.003     0.024
  -0.002     0.019
  -0.001     0.013
   0.000     0.008
   0.001     0.003
   0.002    -0.002
   0.003    -0.007
   0.004    -0.011
   0.005    -0.014
   0.006    -0.017
   0.007    -0.019
   0.008    -0.021
   0.009    -0.022
   0.010    -0.025
   0.011    -0.028
   0.012    -0.033
   0.013    -0.039
   0.014    -0.046
   0.015    -0.056
   0.016    -0.069
   0.017    -0.085
   0.018    -0.104
   0.019    -0.127
   0.020    -0.152
   0.021    -0.179
   0.022    -0.207
   0.023    -0.237
   0.024    -0.268
   0.025    -0.299
   0.026    -0.330
   0.027    -0.362
   0.028    -0.393
   0.029    -0.424
   0.030    -0.455
