
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.07641    -0.13850     0.06405     0.00921    -0.59475    -0.29066 ;

   sigma     mu(1)
  -0.030     0.019
  -0.029     0.032
  -0.028     0.046
  -0.027     0.061
  -0.026     0.077
  -0.025     0.094
  -0.024     0.112
  -0.023     0.130
  -0.022     0.147
  -0.021     0.164
  -0.020     0.179
  -0.019     0.191
  -0.018     0.198
  -0.017     0.200
  -0.016     0.196
  -0.015     0.186
  -0.014     0.172
  -0.013     0.155
  -0.012     0.136
  -0.011     0.116
  -0.010     0.096
  -0.009     0.075
  -0.008     0.055
  -0.007     0.035
  -0.006     0.016
  -0.005    -0.002
  -0.004    -0.020
  -0.003    -0.036
  -0.002    -0.051
  -0.001    -0.066
   0.000    -0.079
   0.001    -0.092
   0.002    -0.103
   0.003    -0.113
   0.004    -0.123
   0.005    -0.131
   0.006    -0.137
   0.007    -0.143
   0.008    -0.147
   0.009    -0.151
   0.010    -0.161
   0.011    -0.174
   0.012    -0.189
   0.013    -0.208
   0.014    -0.231
   0.015    -0.261
   0.016    -0.296
   0.017    -0.336
   0.018    -0.379
   0.019    -0.425
   0.020    -0.472
   0.021    -0.520
   0.022    -0.567
   0.023    -0.614
   0.024    -0.661
   0.025    -0.706
   0.026    -0.750
   0.027    -0.794
   0.028    -0.836
   0.029    -0.876
   0.030    -0.916
