
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.04004     0.02125     0.07125    -0.01197    -0.31065    -0.73833 ;

   sigma     mu(1)
  -0.030    -0.657
  -0.029    -0.622
  -0.028    -0.586
  -0.027    -0.549
  -0.026    -0.511
  -0.025    -0.472
  -0.024    -0.433
  -0.023    -0.392
  -0.022    -0.350
  -0.021    -0.309
  -0.020    -0.266
  -0.019    -0.224
  -0.018    -0.183
  -0.017    -0.143
  -0.016    -0.105
  -0.015    -0.070
  -0.014    -0.042
  -0.013    -0.020
  -0.012    -0.005
  -0.011     0.002
  -0.010     0.003
  -0.009     0.000
  -0.008    -0.005
  -0.007    -0.013
  -0.006    -0.021
  -0.005    -0.027
  -0.004    -0.033
  -0.003    -0.037
  -0.002    -0.041
  -0.001    -0.043
   0.000    -0.043
   0.001    -0.043
   0.002    -0.041
   0.003    -0.038
   0.004    -0.033
   0.005    -0.028
   0.006    -0.021
   0.007    -0.012
   0.008    -0.003
   0.009     0.008
   0.010     0.019
   0.011     0.029
   0.012     0.039
   0.013     0.047
   0.014     0.052
   0.015     0.052
   0.016     0.047
   0.017     0.035
   0.018     0.017
   0.019    -0.006
   0.020    -0.032
   0.021    -0.061
   0.022    -0.091
   0.023    -0.122
   0.024    -0.152
   0.025    -0.182
   0.026    -0.212
   0.027    -0.240
   0.028    -0.268
   0.029    -0.294
   0.030    -0.319
