
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03205     0.02329     0.03937    -0.01535    -0.12167    -0.66586 ;

   sigma     mu(1)
  -0.030    -0.703
  -0.029    -0.667
  -0.028    -0.630
  -0.027    -0.592
  -0.026    -0.554
  -0.025    -0.514
  -0.024    -0.474
  -0.023    -0.433
  -0.022    -0.391
  -0.021    -0.350
  -0.020    -0.308
  -0.019    -0.266
  -0.018    -0.225
  -0.017    -0.186
  -0.016    -0.148
  -0.015    -0.113
  -0.014    -0.082
  -0.013    -0.056
  -0.012    -0.036
  -0.011    -0.022
  -0.010    -0.014
  -0.009    -0.010
  -0.008    -0.009
  -0.007    -0.014
  -0.006    -0.019
  -0.005    -0.024
  -0.004    -0.028
  -0.003    -0.031
  -0.002    -0.034
  -0.001    -0.036
   0.000    -0.037
   0.001    -0.037
   0.002    -0.037
   0.003    -0.035
   0.004    -0.033
   0.005    -0.029
   0.006    -0.025
   0.007    -0.020
   0.008    -0.014
   0.009    -0.007
   0.010     0.000
   0.011     0.007
   0.012     0.014
   0.013     0.020
   0.014     0.025
   0.015     0.028
   0.016     0.027
   0.017     0.022
   0.018     0.012
   0.019    -0.003
   0.020    -0.024
   0.021    -0.048
   0.022    -0.077
   0.023    -0.107
   0.024    -0.139
   0.025    -0.173
   0.026    -0.207
   0.027    -0.240
   0.028    -0.274
   0.029    -0.308
   0.030    -0.340
