
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03755     0.03881     0.06003    -0.02062    -0.47810    -0.56985 ;

   sigma     mu(1)
  -0.030    -0.275
  -0.029    -0.267
  -0.028    -0.257
  -0.027    -0.246
  -0.026    -0.235
  -0.025    -0.222
  -0.024    -0.208
  -0.023    -0.193
  -0.022    -0.177
  -0.021    -0.160
  -0.020    -0.142
  -0.019    -0.124
  -0.018    -0.106
  -0.017    -0.088
  -0.016    -0.071
  -0.015    -0.054
  -0.014    -0.039
  -0.013    -0.027
  -0.012    -0.017
  -0.011    -0.011
  -0.010    -0.008
  -0.009    -0.007
  -0.008    -0.009
  -0.007    -0.015
  -0.006    -0.021
  -0.005    -0.026
  -0.004    -0.031
  -0.003    -0.035
  -0.002    -0.038
  -0.001    -0.039
   0.000    -0.040
   0.001    -0.040
   0.002    -0.038
   0.003    -0.036
   0.004    -0.032
   0.005    -0.027
   0.006    -0.020
   0.007    -0.013
   0.008    -0.004
   0.009     0.006
   0.010     0.014
   0.011     0.022
   0.012     0.026
   0.013     0.024
   0.014     0.013
   0.015    -0.010
   0.016    -0.046
   0.017    -0.091
   0.018    -0.142
   0.019    -0.198
   0.020    -0.255
   0.021    -0.313
   0.022    -0.371
   0.023    -0.429
   0.024    -0.486
   0.025    -0.543
   0.026    -0.599
   0.027    -0.653
   0.028    -0.707
   0.029    -0.759
   0.030    -0.811
