
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02708    -0.02242    -0.04148    -0.00867     0.37301    -0.56988 ;

   sigma     mu(1)
  -0.030    -0.994
  -0.029    -0.956
  -0.028    -0.917
  -0.027    -0.876
  -0.026    -0.834
  -0.025    -0.791
  -0.024    -0.745
  -0.023    -0.699
  -0.022    -0.651
  -0.021    -0.601
  -0.020    -0.550
  -0.019    -0.498
  -0.018    -0.444
  -0.017    -0.389
  -0.016    -0.333
  -0.015    -0.275
  -0.014    -0.217
  -0.013    -0.159
  -0.012    -0.103
  -0.011    -0.050
  -0.010    -0.006
  -0.009     0.025
  -0.008     0.041
  -0.007     0.037
  -0.006     0.027
  -0.005     0.016
  -0.004     0.005
  -0.003    -0.007
  -0.002    -0.018
  -0.001    -0.029
   0.000    -0.040
   0.001    -0.049
   0.002    -0.058
   0.003    -0.065
   0.004    -0.072
   0.005    -0.077
   0.006    -0.081
   0.007    -0.083
   0.008    -0.085
   0.009    -0.085
   0.010    -0.085
   0.011    -0.084
   0.012    -0.083
   0.013    -0.080
   0.014    -0.076
   0.015    -0.071
   0.016    -0.064
   0.017    -0.057
   0.018    -0.049
   0.019    -0.039
   0.020    -0.028
   0.021    -0.017
   0.022    -0.004
   0.023     0.010
   0.024     0.025
   0.025     0.041
   0.026     0.058
   0.027     0.077
   0.028     0.096
   0.029     0.117
   0.030     0.138
