
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03809    -0.00355     0.04050     0.00097    -0.74824    -0.06027 ;

   sigma     mu(1)
  -0.030     0.139
  -0.029     0.132
  -0.028     0.126
  -0.027     0.121
  -0.026     0.116
  -0.025     0.111
  -0.024     0.106
  -0.023     0.102
  -0.022     0.097
  -0.021     0.091
  -0.020     0.085
  -0.019     0.078
  -0.018     0.070
  -0.017     0.062
  -0.016     0.053
  -0.015     0.044
  -0.014     0.035
  -0.013     0.026
  -0.012     0.017
  -0.011     0.008
  -0.010     0.000
  -0.009    -0.007
  -0.008    -0.014
  -0.007    -0.021
  -0.006    -0.026
  -0.005    -0.031
  -0.004    -0.035
  -0.003    -0.038
  -0.002    -0.040
  -0.001    -0.041
   0.000    -0.041
   0.001    -0.040
   0.002    -0.038
   0.003    -0.035
   0.004    -0.032
   0.005    -0.028
   0.006    -0.023
   0.007    -0.017
   0.008    -0.010
   0.009    -0.003
   0.010    -0.005
   0.011    -0.014
   0.012    -0.033
   0.013    -0.066
   0.014    -0.111
   0.015    -0.164
   0.016    -0.222
   0.017    -0.282
   0.018    -0.344
   0.019    -0.406
   0.020    -0.468
   0.021    -0.529
   0.022    -0.589
   0.023    -0.649
   0.024    -0.707
   0.025    -0.764
   0.026    -0.820
   0.027    -0.875
   0.028    -0.928
   0.029    -0.980
   0.030    -1.031
