
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02262     0.00107     0.01897    -0.00103    -0.15540    -0.74266 ;

   sigma     mu(1)
  -0.030    -1.198
  -0.029    -1.135
  -0.028    -1.071
  -0.027    -1.006
  -0.026    -0.940
  -0.025    -0.873
  -0.024    -0.805
  -0.023    -0.736
  -0.022    -0.667
  -0.021    -0.597
  -0.020    -0.526
  -0.019    -0.456
  -0.018    -0.386
  -0.017    -0.318
  -0.016    -0.251
  -0.015    -0.189
  -0.014    -0.133
  -0.013    -0.085
  -0.012    -0.049
  -0.011    -0.025
  -0.010    -0.011
  -0.009    -0.005
  -0.008    -0.003
  -0.007    -0.007
  -0.006    -0.011
  -0.005    -0.015
  -0.004    -0.018
  -0.003    -0.021
  -0.002    -0.023
  -0.001    -0.025
   0.000    -0.026
   0.001    -0.027
   0.002    -0.027
   0.003    -0.027
   0.004    -0.026
   0.005    -0.025
   0.006    -0.023
   0.007    -0.020
   0.008    -0.017
   0.009    -0.012
   0.010    -0.011
   0.011    -0.009
   0.012    -0.009
   0.013    -0.010
   0.014    -0.012
   0.015    -0.016
   0.016    -0.022
   0.017    -0.030
   0.018    -0.040
   0.019    -0.052
   0.020    -0.066
   0.021    -0.080
   0.022    -0.096
   0.023    -0.111
   0.024    -0.127
   0.025    -0.142
   0.026    -0.157
   0.027    -0.170
   0.028    -0.183
   0.029    -0.195
   0.030    -0.206
