
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03279     0.03847     0.04513    -0.02055    -0.43879    -0.52497 ;

   sigma     mu(1)
  -0.030    -0.301
  -0.029    -0.292
  -0.028    -0.282
  -0.027    -0.271
  -0.026    -0.258
  -0.025    -0.245
  -0.024    -0.230
  -0.023    -0.215
  -0.022    -0.199
  -0.021    -0.182
  -0.020    -0.164
  -0.019    -0.146
  -0.018    -0.128
  -0.017    -0.109
  -0.016    -0.091
  -0.015    -0.074
  -0.014    -0.057
  -0.013    -0.043
  -0.012    -0.031
  -0.011    -0.021
  -0.010    -0.015
  -0.009    -0.011
  -0.008    -0.010
  -0.007    -0.014
  -0.006    -0.019
  -0.005    -0.023
  -0.004    -0.027
  -0.003    -0.030
  -0.002    -0.033
  -0.001    -0.035
   0.000    -0.036
   0.001    -0.036
   0.002    -0.035
   0.003    -0.033
   0.004    -0.030
   0.005    -0.026
   0.006    -0.021
   0.007    -0.015
   0.008    -0.008
   0.009     0.000
   0.010     0.007
   0.011     0.012
   0.012     0.014
   0.013     0.009
   0.014    -0.005
   0.015    -0.031
   0.016    -0.068
   0.017    -0.115
   0.018    -0.167
   0.019    -0.224
   0.020    -0.282
   0.021    -0.340
   0.022    -0.399
   0.023    -0.458
   0.024    -0.516
   0.025    -0.574
   0.026    -0.630
   0.027    -0.686
   0.028    -0.741
   0.029    -0.794
   0.030    -0.846
