
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02839     0.01421    -0.01023     0.00995     0.08901    -0.85411 ;

   sigma     mu(1)
  -0.030    -1.880
  -0.029    -1.784
  -0.028    -1.685
  -0.027    -1.586
  -0.026    -1.485
  -0.025    -1.383
  -0.024    -1.280
  -0.023    -1.176
  -0.022    -1.072
  -0.021    -0.966
  -0.020    -0.861
  -0.019    -0.757
  -0.018    -0.655
  -0.017    -0.556
  -0.016    -0.462
  -0.015    -0.373
  -0.014    -0.291
  -0.013    -0.217
  -0.012    -0.151
  -0.011    -0.095
  -0.010    -0.052
  -0.009    -0.024
  -0.008    -0.009
  -0.007    -0.010
  -0.006    -0.015
  -0.005    -0.020
  -0.004    -0.025
  -0.003    -0.029
  -0.002    -0.033
  -0.001    -0.036
   0.000    -0.039
   0.001    -0.040
   0.002    -0.041
   0.003    -0.041
   0.004    -0.040
   0.005    -0.038
   0.006    -0.035
   0.007    -0.031
   0.008    -0.026
   0.009    -0.020
   0.010    -0.013
   0.011    -0.005
   0.012     0.004
   0.013     0.014
   0.014     0.025
   0.015     0.038
   0.016     0.051
   0.017     0.065
   0.018     0.079
   0.019     0.095
   0.020     0.112
   0.021     0.130
   0.022     0.148
   0.023     0.167
   0.024     0.187
   0.025     0.207
   0.026     0.228
   0.027     0.250
   0.028     0.272
   0.029     0.295
   0.030     0.319
