
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.07464    -0.13336     0.04936     0.01150    -0.15761    -0.05171 ;

   sigma     mu(1)
  -0.030     0.328
  -0.029     0.322
  -0.028     0.316
  -0.027     0.311
  -0.026     0.306
  -0.025     0.302
  -0.024     0.297
  -0.023     0.291
  -0.022     0.284
  -0.021     0.276
  -0.020     0.266
  -0.019     0.254
  -0.018     0.240
  -0.017     0.225
  -0.016     0.208
  -0.015     0.190
  -0.014     0.171
  -0.013     0.151
  -0.012     0.131
  -0.011     0.111
  -0.010     0.091
  -0.009     0.072
  -0.008     0.053
  -0.007     0.034
  -0.006     0.016
  -0.005    -0.002
  -0.004    -0.019
  -0.003    -0.035
  -0.002    -0.050
  -0.001    -0.064
   0.000    -0.077
   0.001    -0.089
   0.002    -0.100
   0.003    -0.110
   0.004    -0.118
   0.005    -0.126
   0.006    -0.132
   0.007    -0.138
   0.008    -0.142
   0.009    -0.144
   0.010    -0.150
   0.011    -0.155
   0.012    -0.160
   0.013    -0.164
   0.014    -0.167
   0.015    -0.169
   0.016    -0.170
   0.017    -0.171
   0.018    -0.171
   0.019    -0.170
   0.020    -0.168
   0.021    -0.165
   0.022    -0.161
   0.023    -0.156
   0.024    -0.151
   0.025    -0.144
   0.026    -0.136
   0.027    -0.127
   0.028    -0.117
   0.029    -0.106
   0.030    -0.094
