
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03658     0.02642     0.05629    -0.01783    -0.49258    -0.51358 ;

   sigma     mu(1)
  -0.030    -0.239
  -0.029    -0.231
  -0.028    -0.221
  -0.027    -0.211
  -0.026    -0.199
  -0.025    -0.186
  -0.024    -0.172
  -0.023    -0.157
  -0.022    -0.142
  -0.021    -0.125
  -0.020    -0.108
  -0.019    -0.091
  -0.018    -0.074
  -0.017    -0.058
  -0.016    -0.043
  -0.015    -0.030
  -0.014    -0.019
  -0.013    -0.011
  -0.012    -0.006
  -0.011    -0.004
  -0.010    -0.004
  -0.009    -0.006
  -0.008    -0.009
  -0.007    -0.015
  -0.006    -0.021
  -0.005    -0.026
  -0.004    -0.030
  -0.003    -0.033
  -0.002    -0.036
  -0.001    -0.038
   0.000    -0.038
   0.001    -0.038
   0.002    -0.037
   0.003    -0.035
   0.004    -0.032
   0.005    -0.028
   0.006    -0.024
   0.007    -0.018
   0.008    -0.011
   0.009    -0.004
   0.010     0.002
   0.011     0.006
   0.012     0.008
   0.013     0.003
   0.014    -0.010
   0.015    -0.034
   0.016    -0.069
   0.017    -0.115
   0.018    -0.167
   0.019    -0.223
   0.020    -0.281
   0.021    -0.340
   0.022    -0.399
   0.023    -0.458
   0.024    -0.517
   0.025    -0.575
   0.026    -0.632
   0.027    -0.688
   0.028    -0.743
   0.029    -0.796
   0.030    -0.849
