
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03979     0.02002     0.03335     0.00311     0.08421    -0.61337 ;

   sigma     mu(1)
  -0.030    -0.941
  -0.029    -0.898
  -0.028    -0.855
  -0.027    -0.810
  -0.026    -0.764
  -0.025    -0.717
  -0.024    -0.669
  -0.023    -0.619
  -0.022    -0.569
  -0.021    -0.517
  -0.020    -0.465
  -0.019    -0.412
  -0.018    -0.358
  -0.017    -0.304
  -0.016    -0.251
  -0.015    -0.199
  -0.014    -0.149
  -0.013    -0.104
  -0.012    -0.067
  -0.011    -0.038
  -0.010    -0.021
  -0.009    -0.012
  -0.008    -0.011
  -0.007    -0.017
  -0.006    -0.024
  -0.005    -0.030
  -0.004    -0.035
  -0.003    -0.039
  -0.002    -0.042
  -0.001    -0.044
   0.000    -0.045
   0.001    -0.045
   0.002    -0.043
   0.003    -0.040
   0.004    -0.035
   0.005    -0.030
   0.006    -0.023
   0.007    -0.014
   0.008    -0.005
   0.009     0.007
   0.010     0.019
   0.011     0.033
   0.012     0.049
   0.013     0.066
   0.014     0.084
   0.015     0.103
   0.016     0.125
   0.017     0.147
   0.018     0.171
   0.019     0.197
   0.020     0.223
   0.021     0.252
   0.022     0.282
   0.023     0.313
   0.024     0.345
   0.025     0.380
   0.026     0.415
   0.027     0.452
   0.028     0.491
   0.029     0.531
   0.030     0.572
