
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02687     0.03393     0.02977    -0.01839    -0.16219    -0.69411 ;

   sigma     mu(1)
  -0.030    -0.739
  -0.029    -0.707
  -0.028    -0.674
  -0.027    -0.640
  -0.026    -0.604
  -0.025    -0.567
  -0.024    -0.529
  -0.023    -0.490
  -0.022    -0.450
  -0.021    -0.409
  -0.020    -0.368
  -0.019    -0.326
  -0.018    -0.283
  -0.017    -0.241
  -0.016    -0.199
  -0.015    -0.158
  -0.014    -0.120
  -0.013    -0.085
  -0.012    -0.056
  -0.011    -0.032
  -0.010    -0.016
  -0.009    -0.006
  -0.008    -0.002
  -0.007    -0.006
  -0.006    -0.012
  -0.005    -0.017
  -0.004    -0.022
  -0.003    -0.025
  -0.002    -0.029
  -0.001    -0.031
   0.000    -0.033
   0.001    -0.033
   0.002    -0.033
   0.003    -0.032
   0.004    -0.029
   0.005    -0.026
   0.006    -0.021
   0.007    -0.016
   0.008    -0.009
   0.009     0.000
   0.010     0.005
   0.011     0.011
   0.012     0.015
   0.013     0.017
   0.014     0.016
   0.015     0.009
   0.016    -0.003
   0.017    -0.022
   0.018    -0.046
   0.019    -0.074
   0.020    -0.106
   0.021    -0.140
   0.022    -0.174
   0.023    -0.209
   0.024    -0.244
   0.025    -0.279
   0.026    -0.312
   0.027    -0.345
   0.028    -0.377
   0.029    -0.408
   0.030    -0.438
