
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.03285     0.03856     0.04517    -0.02071    -0.43314    -0.53584 ;

   sigma     mu(1)
  -0.030    -0.315
  -0.029    -0.305
  -0.028    -0.295
  -0.027    -0.283
  -0.026    -0.270
  -0.025    -0.256
  -0.024    -0.241
  -0.023    -0.225
  -0.022    -0.208
  -0.021    -0.190
  -0.020    -0.172
  -0.019    -0.153
  -0.018    -0.134
  -0.017    -0.114
  -0.016    -0.095
  -0.015    -0.077
  -0.014    -0.060
  -0.013    -0.044
  -0.012    -0.031
  -0.011    -0.021
  -0.010    -0.014
  -0.009    -0.010
  -0.008    -0.009
  -0.007    -0.013
  -0.006    -0.018
  -0.005    -0.023
  -0.004    -0.027
  -0.003    -0.030
  -0.002    -0.033
  -0.001    -0.035
   0.000    -0.036
   0.001    -0.036
   0.002    -0.035
   0.003    -0.033
   0.004    -0.030
   0.005    -0.027
   0.006    -0.022
   0.007    -0.015
   0.008    -0.008
   0.009     0.000
   0.010     0.007
   0.011     0.012
   0.012     0.014
   0.013     0.010
   0.014    -0.004
   0.015    -0.029
   0.016    -0.066
   0.017    -0.113
   0.018    -0.165
   0.019    -0.221
   0.020    -0.278
   0.021    -0.337
   0.022    -0.395
   0.023    -0.453
   0.024    -0.511
   0.025    -0.568
   0.026    -0.624
   0.027    -0.679
   0.028    -0.733
   0.029    -0.786
   0.030    -0.837
