
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.00532     0.02527    -0.02918    -0.02136     0.21161    -0.53395 ;

   sigma     mu(1)
  -0.030    -0.734
  -0.029    -0.710
  -0.028    -0.684
  -0.027    -0.658
  -0.026    -0.629
  -0.025    -0.599
  -0.024    -0.568
  -0.023    -0.536
  -0.022    -0.502
  -0.021    -0.466
  -0.020    -0.429
  -0.019    -0.391
  -0.018    -0.352
  -0.017    -0.311
  -0.016    -0.269
  -0.015    -0.227
  -0.014    -0.184
  -0.013    -0.141
  -0.012    -0.099
  -0.011    -0.059
  -0.010    -0.024
  -0.009     0.003
  -0.008     0.022
  -0.007     0.023
  -0.006     0.019
  -0.005     0.014
  -0.004     0.009
  -0.003     0.003
  -0.002    -0.003
  -0.001    -0.009
   0.000    -0.015
   0.001    -0.020
   0.002    -0.025
   0.003    -0.028
   0.004    -0.031
   0.005    -0.033
   0.006    -0.034
   0.007    -0.034
   0.008    -0.033
   0.009    -0.030
   0.010    -0.029
   0.011    -0.027
   0.012    -0.025
   0.013    -0.024
   0.014    -0.024
   0.015    -0.026
   0.016    -0.030
   0.017    -0.038
   0.018    -0.048
   0.019    -0.062
   0.020    -0.078
   0.021    -0.096
   0.022    -0.116
   0.023    -0.136
   0.024    -0.156
   0.025    -0.177
   0.026    -0.196
   0.027    -0.215
   0.028    -0.233
   0.029    -0.250
   0.030    -0.265
