
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/AYFVYJQAPQTCCC-STHAYSLISA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.063
  -2.000     0.914
  -1.900     2.672
  -1.800     4.128
  -1.700     4.087
  -1.600     3.462
  -1.500     3.851
  -1.400     4.250
  -1.300     3.893
  -1.200     3.113
  -1.100     2.724
  -1.000     3.316
  -0.900     3.905
  -0.800     3.890
  -0.700     3.915
  -0.600     4.560
  -0.500     5.111
  -0.400     5.305
  -0.300     5.241
  -0.200     4.798
  -0.100     4.903
   0.000     5.516
   0.100     5.116
   0.200     3.553
   0.300     2.538
   0.400     2.346
   0.500     2.172
   0.600     1.920
   0.700     1.540
   0.800     1.363
   0.900     1.765
   1.000     2.222
   1.100     2.466
   1.200     2.679
   1.300     2.897
   1.400     3.366
   1.500     4.079
   1.600     5.009
   1.700     5.259
   1.800     4.404
   1.900     3.548
   2.000     2.824
   2.100     1.677
   2.200     0.498
   2.300     0.017
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
