
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/AZFQCTBZOPUVOW-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.443
  -1.300     1.868
  -1.200     4.229
  -1.100     6.596
  -1.000     9.572
  -0.900    16.177
  -0.800    24.346
  -0.700    26.388
  -0.600    22.462
  -0.500    19.073
  -0.400    19.170
  -0.300    19.260
  -0.200    16.631
  -0.100    17.067
   0.000    20.473
   0.100    23.202
   0.200    25.841
   0.300    22.063
   0.400    10.120
   0.500     1.594
   0.600     0.000
   0.700     0.000
   0.800     0.000
   0.900     0.000
   1.000     0.000
   1.100     0.000
   1.200     0.000
   1.300     0.000
   1.400     0.000
   1.500     0.000
   1.600     0.000
   1.700     0.000
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
