
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/BOOXKGZZTBKJFE-UHFFFAOYSA-M.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.000
  -1.300     0.114
  -1.200     0.738
  -1.100     2.698
  -1.000     6.089
  -0.900     8.719
  -0.800     9.860
  -0.700    11.155
  -0.600    13.270
  -0.500    17.489
  -0.400    22.403
  -0.300    22.918
  -0.200    18.144
  -0.100    13.381
   0.000    11.655
   0.100    10.461
   0.200     7.925
   0.300     4.226
   0.400     1.272
   0.500     0.229
   0.600     0.041
   0.700     0.094
   0.800     0.209
   0.900     0.246
   1.000     0.292
   1.100     0.388
   1.200     1.040
   1.300     2.200
   1.400     2.535
   1.500     1.902
   1.600     2.523
   1.700     7.533
   1.800    11.581
   1.900     7.387
   2.000     1.579
   2.100     0.015
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
