
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/DLFVBJFMPXGRIB-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.081
  -1.700     0.639
  -1.600     1.557
  -1.500     1.958
  -1.400     1.905
  -1.300     2.065
  -1.200     2.317
  -1.100     2.080
  -1.000     1.455
  -0.900     1.388
  -0.800     2.874
  -0.700     4.717
  -0.600     5.475
  -0.500     5.539
  -0.400     4.662
  -0.300     3.886
  -0.200     4.218
  -0.100     5.276
   0.000     6.007
   0.100     4.923
   0.200     3.078
   0.300     2.391
   0.400     2.376
   0.500     1.857
   0.600     1.398
   0.700     1.340
   0.800     1.399
   0.900     1.348
   1.000     0.876
   1.100     0.878
   1.200     1.414
   1.300     1.382
   1.400     1.794
   1.500     3.260
   1.600     3.464
   1.700     2.544
   1.800     1.953
   1.900     0.917
   2.000     0.084
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
