
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/FBEVECUEMUUFKM-UHFFFAOYSA-M.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.000
  -1.300     0.000
  -1.200     0.042
  -1.100     0.805
  -1.000     2.912
  -0.900     5.529
  -0.800     7.728
  -0.700    11.658
  -0.600    20.507
  -0.500    28.534
  -0.400    30.242
  -0.300    28.790
  -0.200    25.582
  -0.100    21.076
   0.000    18.123
   0.100    17.187
   0.200    12.512
   0.300     4.873
   0.400     1.027
   0.500     0.366
   0.600     0.373
   0.700     0.600
   0.800     0.698
   0.900     0.506
   1.000     0.336
   1.100     0.502
   1.200     1.361
   1.300     2.085
   1.400     1.701
   1.500     1.354
   1.600     4.137
   1.700    10.353
   1.800    11.578
   1.900     5.565
   2.000     1.333
   2.100     0.632
   2.200     0.223
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
