
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/FBPFZTCFMRRESA-JGWLITMVSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.024
  -2.000     0.199
  -1.900     0.912
  -1.800     2.460
  -1.700     3.481
  -1.600     3.010
  -1.500     3.089
  -1.400     3.967
  -1.300     4.114
  -1.200     3.599
  -1.100     3.023
  -1.000     3.442
  -0.900     5.014
  -0.800     7.146
  -0.700     9.726
  -0.600    11.739
  -0.500    11.497
  -0.400     9.608
  -0.300     8.358
  -0.200     8.031
  -0.100     7.300
   0.000     5.955
   0.100     4.929
   0.200     4.633
   0.300     4.442
   0.400     3.844
   0.500     2.963
   0.600     2.676
   0.700     3.494
   0.800     4.462
   0.900     4.922
   1.000     4.938
   1.100     4.686
   1.200     4.703
   1.300     4.984
   1.400     5.112
   1.500     5.493
   1.600     6.234
   1.700     5.682
   1.800     3.117
   1.900     0.842
   2.000     0.100
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
