
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/GHVNFZFCNZKVNT-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.225
  -2.000     0.691
  -1.900     0.708
  -1.800     0.573
  -1.700     1.153
  -1.600     1.477
  -1.500     0.819
  -1.400     0.168
  -1.300     0.149
  -1.200     0.603
  -1.100     0.957
  -1.000     0.725
  -0.900     0.436
  -0.800     0.691
  -0.700     1.641
  -0.600     3.256
  -0.500     5.965
  -0.400    12.816
  -0.300    26.209
  -0.200    36.988
  -0.100    35.582
   0.000    28.566
   0.100    22.127
   0.200    17.462
   0.300    13.654
   0.400     7.678
   0.500     3.340
   0.600     2.331
   0.700     2.059
   0.800     2.177
   0.900     2.433
   1.000     2.429
   1.100     2.798
   1.200     3.673
   1.300     3.766
   1.400     2.836
   1.500     1.653
   1.600     0.612
   1.700     0.079
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
