
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/GLDOVTGHNKAZLK-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.004
  -1.800     0.140
  -1.700     0.742
  -1.600     1.269
  -1.500     0.915
  -1.400     0.527
  -1.300     0.725
  -1.200     0.990
  -1.100     1.069
  -1.000     0.769
  -0.900     0.453
  -0.800     0.566
  -0.700     0.700
  -0.600     0.899
  -0.500     2.867
  -0.400    12.127
  -0.300    37.136
  -0.200    64.471
  -0.100    70.702
   0.000    62.113
   0.100    48.583
   0.200    35.130
   0.300    27.427
   0.400    17.057
   0.500     5.141
   0.600     0.894
   0.700     0.883
   0.800     0.650
   0.900     0.561
   1.000     0.744
   1.100     1.050
   1.200     1.368
   1.300     1.347
   1.400     0.983
   1.500     1.054
   1.600     1.458
   1.700     1.604
   1.800     1.410
   1.900     0.689
   2.000     0.089
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
