
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/HEBKCHPVOIAQTA-SCDXWVJYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.047
  -1.900     0.510
  -1.800     2.055
  -1.700     3.268
  -1.600     2.761
  -1.500     2.538
  -1.400     3.534
  -1.300     4.274
  -1.200     3.851
  -1.100     2.986
  -1.000     2.829
  -0.900     3.306
  -0.800     3.908
  -0.700     6.065
  -0.600     9.912
  -0.500    12.361
  -0.400    11.658
  -0.300     9.057
  -0.200     7.189
  -0.100     6.456
   0.000     5.931
   0.100     5.185
   0.200     4.373
   0.300     3.843
   0.400     3.042
   0.500     2.223
   0.600     2.144
   0.700     2.508
   0.800     3.166
   0.900     4.109
   1.000     4.448
   1.100     4.185
   1.200     4.175
   1.300     4.269
   1.400     4.363
   1.500     4.631
   1.600     4.466
   1.700     4.100
   1.800     3.518
   1.900     1.893
   2.000     0.414
   2.100     0.016
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
