
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/HJZLEGIHUQOJBA-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.222
  -2.000     0.688
  -1.900     0.711
  -1.800     0.554
  -1.700     1.118
  -1.600     1.438
  -1.500     0.803
  -1.400     0.217
  -1.300     0.140
  -1.200     0.413
  -1.100     0.841
  -1.000     0.876
  -0.900     0.628
  -0.800     1.286
  -0.700     2.710
  -0.600     3.723
  -0.500     5.139
  -0.400    10.284
  -0.300    20.045
  -0.200    28.021
  -0.100    27.296
   0.000    20.980
   0.100    16.420
   0.200    13.828
   0.300     9.715
   0.400     4.857
   0.500     2.533
   0.600     2.191
   0.700     2.027
   0.800     1.982
   0.900     1.906
   1.000     2.080
   1.100     2.972
   1.200     3.965
   1.300     4.020
   1.400     2.914
   1.500     1.461
   1.600     0.502
   1.700     0.093
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
