
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/HLZKNKRTKFSKGZ-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.005
  -1.800     0.139
  -1.700     0.743
  -1.600     1.276
  -1.500     0.915
  -1.400     0.533
  -1.300     0.725
  -1.200     0.967
  -1.100     1.058
  -1.000     0.781
  -0.900     0.466
  -0.800     0.570
  -0.700     0.686
  -0.600     0.886
  -0.500     2.871
  -0.400    11.213
  -0.300    31.209
  -0.200    51.275
  -0.100    54.677
   0.000    47.610
   0.100    37.404
   0.200    27.676
   0.300    21.929
   0.400    13.268
   0.500     3.894
   0.600     0.863
   0.700     0.878
   0.800     0.661
   0.900     0.560
   1.000     0.721
   1.100     1.011
   1.200     1.362
   1.300     1.391
   1.400     1.022
   1.500     1.055
   1.600     1.437
   1.700     1.603
   1.800     1.430
   1.900     0.687
   2.000     0.080
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
