
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/ISWSIDIOOBJBQZ-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.154
  -2.000     0.634
  -1.900     0.895
  -1.800     0.787
  -1.700     0.893
  -1.600     1.065
  -1.500     1.044
  -1.400     0.797
  -1.300     0.560
  -1.200     0.611
  -1.100     0.761
  -1.000     0.871
  -0.900     1.387
  -0.800     3.523
  -0.700     6.636
  -0.600     8.133
  -0.500     7.121
  -0.400     5.593
  -0.300     5.336
  -0.200     5.608
  -0.100     5.569
   0.000     5.440
   0.100     5.314
   0.200     5.794
   0.300     7.816
   0.400     9.681
   0.500    11.085
   0.600    11.105
   0.700     6.893
   0.800     2.515
   0.900     1.259
   1.000     0.923
   1.100     0.907
   1.200     1.288
   1.300     1.586
   1.400     1.368
   1.500     0.567
   1.600     0.048
   1.700     0.000
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
