
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/JNMRHUJNCSQMMB-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.052
  -1.900     0.231
  -1.800     0.531
  -1.700     1.311
  -1.600     2.685
  -1.500     3.313
  -1.400     2.858
  -1.300     2.705
  -1.200     3.494
  -1.100     4.859
  -1.000     6.502
  -0.900     8.438
  -0.800     9.182
  -0.700     8.177
  -0.600     7.366
  -0.500     7.294
  -0.400     6.975
  -0.300     6.846
  -0.200     8.485
  -0.100    11.217
   0.000    13.011
   0.100    14.486
   0.200    16.394
   0.300    16.960
   0.400    14.368
   0.500     9.983
   0.600     7.366
   0.700     5.752
   0.800     4.264
   0.900     5.507
   1.000     7.773
   1.100     8.288
   1.200     6.740
   1.300     3.348
   1.400     0.924
   1.500     0.679
   1.600     0.956
   1.700     0.886
   1.800     0.425
   1.900     0.071
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
