
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/JVTAAEKCZFNVCJ-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.108
  -2.100     0.567
  -2.000     0.827
  -1.900     0.909
  -1.800     1.810
  -1.700     2.298
  -1.600     1.462
  -1.500     0.726
  -1.400     0.792
  -1.300     1.360
  -1.200     1.832
  -1.100     1.706
  -1.000     1.424
  -0.900     1.886
  -0.800     2.748
  -0.700     3.689
  -0.600     5.137
  -0.500     6.677
  -0.400     7.556
  -0.300     6.915
  -0.200     5.351
  -0.100     5.280
   0.000     6.597
   0.100     6.211
   0.200     3.905
   0.300     2.606
   0.400     2.745
   0.500     2.708
   0.600     2.172
   0.700     2.199
   0.800     2.919
   0.900     3.037
   1.000     2.997
   1.100     3.833
   1.200     4.698
   1.300     4.614
   1.400     3.460
   1.500     2.221
   1.600     1.515
   1.700     0.707
   1.800     0.096
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
