
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/NLXLAEXVIDQMFP-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     1.084
  -1.900     5.083
  -1.800     9.050
  -1.700     7.907
  -1.600     4.222
  -1.500     2.842
  -1.400     2.687
  -1.300     1.941
  -1.200     1.280
  -1.100     0.892
  -1.000     0.526
  -0.900     0.340
  -0.800     0.667
  -0.700     1.240
  -0.600     1.067
  -0.500     0.351
  -0.400     0.012
  -0.300     0.000
  -0.200     0.024
  -0.100     0.102
   0.000     0.133
   0.100     0.055
   0.200     0.000
   0.300     0.224
   0.400     1.762
   0.500     3.121
   0.600     1.850
   0.700     0.268
   0.800     0.000
   0.900     0.000
   1.000     0.106
   1.100     0.782
   1.200     1.971
   1.300     2.452
   1.400     3.999
   1.500    10.607
   1.600    13.514
   1.700     6.146
   1.800     0.396
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
