
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/NOOLISFMXDJSKH-KXUCPTDWSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.063
  -1.700     0.338
  -1.600     0.822
  -1.500     0.895
  -1.400     0.503
  -1.300     0.703
  -1.200     1.224
  -1.100     1.100
  -1.000     0.641
  -0.900     0.375
  -0.800     0.658
  -0.700     1.075
  -0.600     0.923
  -0.500     2.908
  -0.400    11.224
  -0.300    23.441
  -0.200    30.709
  -0.100    28.679
   0.000    22.704
   0.100    18.883
   0.200    18.650
   0.300    16.938
   0.400     9.462
   0.500     2.956
   0.600     1.155
   0.700     0.748
   0.800     0.540
   0.900     0.600
   1.000     0.784
   1.100     0.752
   1.200     0.726
   1.300     1.379
   1.400     1.900
   1.500     1.339
   1.600     0.787
   1.700     0.793
   1.800     0.812
   1.900     0.524
   2.000     0.139
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
