
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/NZNMSOFKMUBTKW-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.200
  -2.000     0.666
  -1.900     0.732
  -1.800     0.547
  -1.700     1.013
  -1.600     1.412
  -1.500     0.933
  -1.400     0.284
  -1.300     0.136
  -1.200     0.395
  -1.100     0.704
  -1.000     0.800
  -0.900     0.696
  -0.800     0.574
  -0.700     0.629
  -0.600     1.655
  -0.500     5.546
  -0.400    13.017
  -0.300    19.973
  -0.200    21.830
  -0.100    19.546
   0.000    15.891
   0.100    12.128
   0.200     8.469
   0.300     4.909
   0.400     2.743
   0.500     2.284
   0.600     2.289
   0.700     2.420
   0.800     2.427
   0.900     1.927
   1.000     1.746
   1.100     2.694
   1.200     3.835
   1.300     3.986
   1.400     2.980
   1.500     1.466
   1.600     0.405
   1.700     0.041
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
