
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/POKOASTYJWUQJG-UHFFFAOYSA-M.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.027
  -1.400     0.526
  -1.300     1.635
  -1.200     3.239
  -1.100     5.859
  -1.000     8.418
  -0.900     8.560
  -0.800     7.733
  -0.700     8.688
  -0.600    10.222
  -0.500    13.484
  -0.400    18.496
  -0.300    20.882
  -0.200    20.478
  -0.100    17.281
   0.000    11.901
   0.100     8.689
   0.200     7.076
   0.300     3.827
   0.400     1.077
   0.500     0.468
   0.600     0.388
   0.700     0.406
   0.800     0.720
   0.900     0.944
   1.000     0.825
   1.100     0.680
   1.200     1.098
   1.300     1.697
   1.400     1.753
   1.500     1.646
   1.600     4.580
   1.700    11.150
   1.800    11.854
   1.900     4.931
   2.000     0.470
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
