
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/QLKGUVGAXDXFFW-UHFFFAOYSA-M.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.121
  -1.300     0.677
  -1.200     1.866
  -1.100     4.495
  -1.000     9.337
  -0.900    13.386
  -0.800    13.277
  -0.700    11.489
  -0.600    12.286
  -0.500    14.611
  -0.400    14.643
  -0.300    11.848
  -0.200     8.475
  -0.100     6.364
   0.000     5.833
   0.100     7.258
   0.200     7.935
   0.300     5.629
   0.400     3.682
   0.500     2.774
   0.600     1.743
   0.700     1.807
   0.800     2.708
   0.900     2.941
   1.000     3.067
   1.100     3.975
   1.200     4.192
   1.300     3.569
   1.400     3.044
   1.500     2.900
   1.600     3.418
   1.700     3.584
   1.800     3.290
   1.900     3.355
   2.000     3.023
   2.100     1.731
   2.200     0.556
   2.300     0.101
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
