
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/USFRYJRPHFMVBZ-UHFFFAOYSA-M.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.037
  -1.300     0.594
  -1.200     1.733
  -1.100     2.468
  -1.000     3.623
  -0.900     9.882
  -0.800    20.983
  -0.700    27.406
  -0.600    26.065
  -0.500    22.492
  -0.400    20.445
  -0.300    19.760
  -0.200    18.654
  -0.100    19.575
   0.000    22.615
   0.100    24.734
   0.200    27.270
   0.300    26.966
   0.400    20.249
   0.500    12.587
   0.600     6.991
   0.700     2.923
   0.800     1.146
   0.900     0.669
   1.000     0.508
   1.100     0.739
   1.200     1.312
   1.300     1.903
   1.400     1.933
   1.500     1.631
   1.600     4.003
   1.700     9.141
   1.800     9.496
   1.900     4.157
   2.000     0.701
   2.100     0.215
   2.200     0.266
   2.300     0.340
   2.400     0.154
   2.500     0.004
   2.600     0.106
   2.700     0.243
   2.800     0.181
   2.900     0.041
   3.000     0.000
