
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/VEXZGXHMUGYJMC-UHFFFAOYSA-M.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.000
  -1.900     0.000
  -1.800     0.000
  -1.700     0.000
  -1.600     0.000
  -1.500     0.000
  -1.400     0.000
  -1.300     0.000
  -1.200     0.000
  -1.100     0.000
  -1.000     0.000
  -0.900     0.000
  -0.800     0.000
  -0.700     0.000
  -0.600     0.000
  -0.500     0.000
  -0.400     0.000
  -0.300     0.000
  -0.200     0.000
  -0.100     0.000
   0.000     0.000
   0.100     0.000
   0.200     0.000
   0.300     0.000
   0.400     0.000
   0.500     0.000
   0.600     0.000
   0.700     0.000
   0.800     0.000
   0.900     0.000
   1.000     0.000
   1.100     0.000
   1.200     0.000
   1.300     0.000
   1.400     0.000
   1.500     0.000
   1.600     0.000
   1.700     0.848
   1.800    14.051
   1.900    25.557
   2.000    12.354
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
