
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/YCOXTKKNXUZSKD-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.046
  -2.000     0.470
  -1.900     0.933
  -1.800     0.770
  -1.700     0.701
  -1.600     1.059
  -1.500     1.130
  -1.400     0.826
  -1.300     0.569
  -1.200     0.581
  -1.100     0.689
  -1.000     0.828
  -0.900     1.023
  -0.800     1.827
  -0.700     3.686
  -0.600     7.732
  -0.500    11.763
  -0.400    11.997
  -0.300    10.861
  -0.200     9.704
  -0.100     8.679
   0.000    10.169
   0.100    12.760
   0.200    11.743
   0.300     8.618
   0.400     8.021
   0.500     9.259
   0.600     9.994
   0.700     7.875
   0.800     3.805
   0.900     1.561
   1.000     1.087
   1.100     0.973
   1.200     1.219
   1.300     1.562
   1.400     1.520
   1.500     0.834
   1.600     0.168
   1.700     0.000
   1.800     0.000
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
