
 Sigma profiles (s [e/nm^2], p(s)):

 p(1):    Sigma profile (s [e/nm^2], p(s)) for /media/nastya/storage/Project_nastya/cosmo/ZGZLRWJZGFRHHQ-UHFFFAOYSA-N.cosmo

   sigma      p(1)
  -3.000     0.000
  -2.900     0.000
  -2.800     0.000
  -2.700     0.000
  -2.600     0.000
  -2.500     0.000
  -2.400     0.000
  -2.300     0.000
  -2.200     0.000
  -2.100     0.000
  -2.000     0.022
  -1.900     0.253
  -1.800     0.926
  -1.700     1.366
  -1.600     1.735
  -1.500     2.995
  -1.400     4.270
  -1.300     5.735
  -1.200     7.648
  -1.100     8.653
  -1.000    10.321
  -0.900    12.973
  -0.800    14.490
  -0.700    15.757
  -0.600    16.874
  -0.500    16.547
  -0.400    13.045
  -0.300     7.517
  -0.200     4.637
  -0.100     4.117
   0.000     3.869
   0.100     3.249
   0.200     1.742
   0.300     0.832
   0.400     0.875
   0.500     0.636
   0.600     0.259
   0.700     0.663
   0.800     1.528
   0.900     1.532
   1.000     0.741
   1.100     0.392
   1.200     0.757
   1.300     1.171
   1.400     1.313
   1.500     1.405
   1.600     1.295
   1.700     0.657
   1.800     0.105
   1.900     0.000
   2.000     0.000
   2.100     0.000
   2.200     0.000
   2.300     0.000
   2.400     0.000
   2.500     0.000
   2.600     0.000
   2.700     0.000
   2.800     0.000
   2.900     0.000
   3.000     0.000
