,T_EP,X#1,T#1,T#2,MinPartialCharge#1,BalabanJ#2,fr_NH0#2,RadiusOfGyration#2,SpherocityIndex#1,SpherocityIndex#2,MolWeight#1,MolWeight#2,WAPS#1,WAPS#2,WANS#1,ln_gamma_InfD#1,ln_gamma_InfD#2,lny#2,s_profile_1#ratio,s_profile_2#ratio,s_profile_3#ratio,s_profile_4#ratio,s_profile_5#ratio,s_profile_6#ratio
T_EP,1.0,-0.5088473369137448,0.5211901535039855,0.48518569558173014,-0.378667963361339,-0.23705901641083219,0.3050253144139882,-0.3152181237368732,0.2839064633680721,0.3237063388958896,0.07009014877905892,-0.4218468327471971,0.28255142193077554,0.47963022001467986,-0.09048201371070361,-0.07411120893330876,0.008417851910376185,0.008704625138564844,-0.13084289310328842,-0.21098333726148188,0.5990198515962812,-0.3852079216646556,-0.41913511286866334,0.45220329799537573
X#1,-0.5088473369137448,1.0,-0.09164672812098261,0.0008509715895788634,0.029519329990781662,-0.023562284059681353,-0.03257045918838132,0.0014043678260388954,-0.0105754731907054,0.013417489555050923,-0.06512198393474225,0.08352975604681587,0.006921846250779253,-0.022480790278942554,-0.020944566704357372,0.006784647814839138,-0.04082977304250872,-0.019671326909948883,0.16429917405813946,0.24914739098108565,-0.34897256119280207,0.12024942903937878,0.20270394774333392,-0.2580692293733591
T#1,0.5211901535039855,-0.09164672812098261,1.0,0.44332353810366526,-0.5259647610886486,-0.33218103823214246,0.2153130836409112,-0.3316762809435121,0.4903411802132056,0.2110275011785069,-0.04963828018091681,-0.4231848340682141,0.5269323302663426,0.41723727131220345,-0.42829519647938447,-0.2950869620662075,-0.028132181684981886,0.005283301009012472,0.17109505115581664,0.16774327840255734,0.45781964659913155,-0.42575851373668516,-0.1864261537090022,0.4963422407220064
T#2,0.48518569558173014,0.0008509715895788634,0.44332353810366526,1.0,-0.25977527768027625,-0.6914185480988784,0.7236192378343638,-0.7396580668258024,0.21671919997689656,0.806937857250587,-0.120373222191582,-0.5864504039965934,0.43874874254480606,0.9242838064553999,-0.4110855625507456,-0.299347479941797,-0.2829007742286327,-0.02162468136317788,-0.07170657863247618,0.07239390697799822,0.7112758698693925,-0.6571881216393058,-0.34916137588746043,0.6071156146325566
MinPartialCharge#1,-0.378667963361339,0.029519329990781662,-0.5259647610886486,-0.25977527768027625,1.0,0.17899069486402516,-0.06451069130931815,0.22261750718035678,-0.4820884108777818,-0.04406258646919346,-0.07324527812045085,0.34209671611624665,-0.5826001604648132,-0.261994710580209,0.10363196485153804,-0.08678298925120669,-0.21697113419560887,-0.0064961658868849265,0.08038094262491675,0.1090168634522506,-0.44041865897632515,0.2648969527734792,0.30124160005713346,-0.3849306218203101
BalabanJ#2,-0.23705901641083219,-0.023562284059681353,-0.33218103823214246,-0.6914185480988784,0.17899069486402516,1.0,-0.6974357307321206,0.714213236850805,-0.044514869976837707,-0.7651580846596738,-0.012778734677663085,0.2796114254499712,-0.30187841859540154,-0.6621472815110651,0.2686116280892254,0.20854216730448394,0.3600555292668192,0.019805397507463792,0.09503529578128746,0.005939158142928856,-0.6150948601927315,0.4629174156090523,0.3017762970562019,-0.5520234903405853
fr_NH0#2,0.3050253144139882,-0.03257045918838132,0.2153130836409112,0.7236192378343638,-0.06451069130931815,-0.6974357307321206,1.0,-0.6490851493834375,-0.06031210186973086,0.8302351100432006,0.027709282062112782,-0.42941443512589084,0.22454349360223588,0.8311329457342423,-0.2350389208916257,-0.25774443479298553,-0.46813888833838546,-0.019752475672237268,-0.14281116856320827,-0.1481528233996201,0.6318522609059481,-0.4360613381171705,-0.3308021590204471,0.4480811082349837
RadiusOfGyration#2,-0.3152181237368732,0.0014043678260388954,-0.3316762809435121,-0.7396580668258024,0.22261750718035678,0.714213236850805,-0.6490851493834375,1.0,-0.14115184959763477,-0.7844906090394803,0.053998428862963375,0.7014285996549565,-0.3892385213336806,-0.8089169483498518,0.3263039683592847,0.29653634122652606,0.2964754310678291,0.015906345268040196,0.11754734779423989,-0.09167988457836063,-0.6035217139461121,0.6417071180834816,0.3216008541812371,-0.4512700303090822
SpherocityIndex#1,0.2839064633680721,-0.0105754731907054,0.4903411802132056,0.21671919997689656,-0.4820884108777818,-0.044514869976837707,-0.06031210186973086,-0.14115184959763477,1.0,-0.027663282124267257,-0.3011632105030372,-0.21188033434810657,0.6158513563022963,0.16301007998283967,-0.32561488347735895,-0.10538482262610768,0.2735123885242979,0.02586899751010678,-0.09744249119551272,0.18552549516721484,0.32342113492847746,-0.4271430611947086,-0.2611801526363293,0.32359930446838253
SpherocityIndex#2,0.3237063388958896,0.013417489555050923,0.2110275011785069,0.806937857250587,-0.04406258646919346,-0.7651580846596738,0.8302351100432006,-0.7844906090394803,-0.027663282124267257,1.0,-0.019372478202800712,-0.3979058553124342,0.23643510175303112,0.8355283668997695,-0.24806758722101194,-0.289373232859548,-0.47859318584059934,-0.012420118820580346,-0.18427510734046326,-0.0918480095942401,0.6050871700545698,-0.47579561090847317,-0.42146307477462375,0.3639484121984509
MolWeight#1,0.07009014877905892,-0.06512198393474225,-0.04963828018091681,-0.120373222191582,-0.07324527812045085,-0.012778734677663085,0.027709282062112782,0.053998428862963375,-0.3011632105030372,-0.019372478202800712,1.0,-0.03247207350060266,-0.5230074656085805,-0.04796314816914689,0.6840188664815151,0.26326420766171943,0.06478242723912099,-0.04069736637425616,0.008518213605281965,-0.4501754936566693,-0.07726987246979748,0.5885806833280567,0.01698943735464116,-0.11463775786084995
MolWeight#2,-0.4218468327471971,0.08352975604681587,-0.4231848340682141,-0.5864504039965934,0.34209671611624665,0.2796114254499712,-0.42941443512589084,0.7014285996549565,-0.21188033434810657,-0.3979058553124342,-0.03247207350060266,1.0,-0.30789173975852185,-0.7164454360685503,0.17094412383822818,0.18360348783703118,0.02321764949814989,0.016265368278394803,-0.020475861702012155,-0.03354433863980715,-0.41083070186428694,0.5046725249314346,0.2041151008860886,-0.38783952293790214
WAPS#1,0.28255142193077554,0.006921846250779253,0.5269323302663426,0.43874874254480606,-0.5826001604648132,-0.30187841859540154,0.22454349360223588,-0.3892385213336806,0.6158513563022963,0.23643510175303112,-0.5230074656085805,-0.30789173975852185,1.0,0.40947725658266687,-0.7107892978389403,-0.24720301205873924,0.09194007626080317,0.025042456766156334,-0.06677814817537325,0.4175096584073736,0.5699723834722418,-0.7150847590734573,-0.33593204614890587,0.6007217661565379
WAPS#2,0.47963022001467986,-0.022480790278942554,0.41723727131220345,0.9242838064553999,-0.261994710580209,-0.6621472815110651,0.8311329457342423,-0.8089169483498518,0.16301007998283967,0.8355283668997695,-0.04796314816914689,-0.7164454360685503,0.40947725658266687,1.0,-0.35285631056806355,-0.30843238392928407,-0.3337431111078604,-0.020609993448242613,-0.09731271705837352,0.015402190874014078,0.7109690459264928,-0.6282320100352725,-0.4158044872437187,0.5635863016966727
WANS#1,-0.09048201371070361,-0.020944566704357372,-0.42829519647938447,-0.4110855625507456,0.10363196485153804,0.2686116280892254,-0.2350389208916257,0.3263039683592847,-0.32561488347735895,-0.24806758722101194,0.6840188664815151,0.17094412383822818,-0.7107892978389403,-0.35285631056806355,1.0,0.5604658337023504,0.25139851609786507,-0.02579729722908462,-0.21406028038295152,-0.5934694363709753,-0.4364667612124778,0.7480212061933283,-0.006732184387648218,-0.5168886678417445
