,T_EP,X#1,T#1,T#2,RadiusOfGyration#2,SpherocityIndex#1,SpherocityIndex#2,MolWeight#2,WAPS#1,WAPS#2,WANS#1,ln_gamma_InfD#1,ln_gamma_InfD#2,s_profile_1#ratio,s_profile_2#ratio,s_profile_3#ratio,s_profile_4#ratio,s_profile_5#ratio,s_profile_6#ratio
T_EP,1.0,-0.5088473369137448,0.5211901535039855,0.48518569558173014,-0.3152181237368732,0.2839064633680721,0.3237063388958896,-0.4218468327471971,0.28255142193077554,0.47963022001467986,-0.09048201371070361,-0.07411120893330876,0.008417851910376185,-0.13084289310328842,-0.21098333726148188,0.5990198515962812,-0.3852079216646556,-0.41913511286866334,0.45220329799537573
X#1,-0.5088473369137448,1.0,-0.09164672812098261,0.0008509715895788634,0.0014043678260388954,-0.0105754731907054,0.013417489555050923,0.08352975604681587,0.006921846250779253,-0.022480790278942554,-0.020944566704357372,0.006784647814839138,-0.04082977304250872,0.16429917405813946,0.24914739098108565,-0.34897256119280207,0.12024942903937878,0.20270394774333392,-0.2580692293733591
T#1,0.5211901535039855,-0.09164672812098261,1.0,0.44332353810366526,-0.3316762809435121,0.4903411802132056,0.2110275011785069,-0.4231848340682141,0.5269323302663426,0.41723727131220345,-0.42829519647938447,-0.2950869620662075,-0.028132181684981886,0.17109505115581664,0.16774327840255734,0.45781964659913155,-0.42575851373668516,-0.1864261537090022,0.4963422407220064
T#2,0.48518569558173014,0.0008509715895788634,0.44332353810366526,1.0,-0.7396580668258024,0.21671919997689656,0.806937857250587,-0.5864504039965934,0.43874874254480606,0.9242838064553999,-0.4110855625507456,-0.299347479941797,-0.2829007742286327,-0.07170657863247618,0.07239390697799822,0.7112758698693925,-0.6571881216393058,-0.34916137588746043,0.6071156146325566
RadiusOfGyration#2,-0.3152181237368732,0.0014043678260388954,-0.3316762809435121,-0.7396580668258024,1.0,-0.14115184959763477,-0.7844906090394803,0.7014285996549565,-0.3892385213336806,-0.8089169483498518,0.3263039683592847,0.29653634122652606,0.2964754310678291,0.11754734779423989,-0.09167988457836063,-0.6035217139461121,0.6417071180834816,0.3216008541812371,-0.4512700303090822
SpherocityIndex#1,0.2839064633680721,-0.0105754731907054,0.4903411802132056,0.21671919997689656,-0.14115184959763477,1.0,-0.027663282124267257,-0.21188033434810657,0.6158513563022963,0.16301007998283967,-0.32561488347735895,-0.10538482262610768,0.2735123885242979,-0.09744249119551272,0.18552549516721484,0.32342113492847746,-0.4271430611947086,-0.2611801526363293,0.32359930446838253
SpherocityIndex#2,0.3237063388958896,0.013417489555050923,0.2110275011785069,0.806937857250587,-0.7844906090394803,-0.027663282124267257,1.0,-0.3979058553124342,0.23643510175303112,0.8355283668997695,-0.24806758722101194,-0.289373232859548,-0.47859318584059934,-0.18427510734046326,-0.0918480095942401,0.6050871700545698,-0.47579561090847317,-0.42146307477462375,0.3639484121984509
MolWeight#2,-0.4218468327471971,0.08352975604681587,-0.4231848340682141,-0.5864504039965934,0.7014285996549565,-0.21188033434810657,-0.3979058553124342,1.0,-0.30789173975852185,-0.7164454360685503,0.17094412383822818,0.18360348783703118,0.02321764949814989,-0.020475861702012155,-0.03354433863980715,-0.41083070186428694,0.5046725249314346,0.2041151008860886,-0.38783952293790214
WAPS#1,0.28255142193077554,0.006921846250779253,0.5269323302663426,0.43874874254480606,-0.3892385213336806,0.6158513563022963,0.23643510175303112,-0.30789173975852185,1.0,0.40947725658266687,-0.7107892978389403,-0.24720301205873924,0.09194007626080317,-0.06677814817537325,0.4175096584073736,0.5699723834722418,-0.7150847590734573,-0.33593204614890587,0.6007217661565379
WAPS#2,0.47963022001467986,-0.022480790278942554,0.41723727131220345,0.9242838064553999,-0.8089169483498518,0.16301007998283967,0.8355283668997695,-0.7164454360685503,0.40947725658266687,1.0,-0.35285631056806355,-0.30843238392928407,-0.3337431111078604,-0.09731271705837352,0.015402190874014078,0.7109690459264928,-0.6282320100352725,-0.4158044872437187,0.5635863016966727
WANS#1,-0.09048201371070361,-0.020944566704357372,-0.42829519647938447,-0.4110855625507456,0.3263039683592847,-0.32561488347735895,-0.24806758722101194,0.17094412383822818,-0.7107892978389403,-0.35285631056806355,1.0,0.5604658337023504,0.25139851609786507,-0.21406028038295152,-0.5934694363709753,-0.4364667612124778,0.7480212061933283,-0.006732184387648218,-0.5168886678417445
ln_gamma_InfD#1,-0.07411120893330876,0.006784647814839138,-0.2950869620662075,-0.299347479941797,0.29653634122652606,-0.10538482262610768,-0.289373232859548,0.18360348783703118,-0.24720301205873924,-0.30843238392928407,0.5604658337023504,1.0,0.7388258228723554,-0.4868141871673475,-0.3253418497261803,-0.19395196678250184,0.3789593193735717,-0.0510698041255456,-0.2489421438754564
ln_gamma_InfD#2,0.008417851910376185,-0.04082977304250872,-0.028132181684981886,-0.2829007742286327,0.2964754310678291,0.2735123885242979,-0.47859318584059934,0.02321764949814989,0.09194007626080317,-0.3337431111078604,0.25139851609786507,0.7388258228723554,1.0,-0.343368390286022,0.015350005330560204,-0.1482050243050219,0.1409544056255877,-0.032211757575844095,-0.04548010983334277
s_profile_1#ratio,-0.13084289310328842,0.16429917405813946,0.17109505115581664,-0.07170657863247618,0.11754734779423989,-0.09744249119551272,-0.18427510734046326,-0.020475861702012155,-0.06677814817537325,-0.09731271705837352,-0.21406028038295152,-0.4868141871673475,-0.343368390286022,1.0,0.2710870144094162,-0.2532180089206463,0.048556703762592045,0.4451581732006989,0.08235504981379962
s_profile_2#ratio,-0.21098333726148188,0.24914739098108565,0.16774327840255734,0.07239390697799822,-0.09167988457836063,0.18552549516721484,-0.0918480095942401,-0.03354433863980715,0.4175096584073736,0.015402190874014078,-0.5934694363709753,-0.3253418497261803,0.015350005330560204,0.2710870144094162,1.0,-0.15831081529964924,-0.33507495372480606,0.17600307194608247,0.1816311456984275
s_profile_3#ratio,0.5990198515962812,-0.34897256119280207,0.45781964659913155,0.7112758698693925,-0.6035217139461121,0.32342113492847746,0.6050871700545698,-0.41083070186428694,0.5699723834722418,0.7109690459264928,-0.4364667612124778,-0.19395196678250184,-0.1482050243050219,-0.2532180089206463,-0.15831081529964924,1.0,-0.7142701813946801,-0.40176427860786024,0.7583215787476428
s_profile_4#ratio,-0.3852079216646556,0.12024942903937878,-0.42575851373668516,-0.6571881216393058,0.6417071180834816,-0.4271430611947086,-0.47579561090847317,0.5046725249314346,-0.7150847590734573,-0.6282320100352725,0.7480212061933283,0.3789593193735717,0.1409544056255877,0.048556703762592045,-0.33507495372480606,-0.7142701813946801,1.0,0.20638575941740478,-0.6472188797689632
s_profile_5#ratio,-0.41913511286866334,0.20270394774333392,-0.1864261537090022,-0.34916137588746043,0.3216008541812371,-0.2611801526363293,-0.42146307477462375,0.2041151008860886,-0.33593204614890587,-0.4158044872437187,-0.006732184387648218,-0.0510698041255456,-0.032211757575844095,0.4451581732006989,0.17600307194608247,-0.40176427860786024,0.20638575941740478,1.0,-0.24500232124022447
s_profile_6#ratio,0.45220329799537573,-0.2580692293733591,0.4963422407220064,0.6071156146325566,-0.4512700303090822,0.32359930446838253,0.3639484121984509,-0.38783952293790214,0.6007217661565379,0.5635863016966727,-0.5168886678417445,-0.2489421438754564,-0.04548010983334277,0.08235504981379962,0.1816311456984275,0.7583215787476428,-0.6472188797689632,-0.24500232124022447,1.0
