features,MIC_1,MIC_2,MIC_3,MIC_4,MIC_5,MIC_sum,MIC
X#1,0.26775146672630695,0.24538442963862261,0.28271283063779895,0.2951131811475542,0.27912886101025036,0.2740181538321066,True
Solubility#1,0.2191617594396427,0.18910468588938056,0.22350285721666288,0.21271675056461342,0.23673420760427097,0.2162440521429141,True
Solubility#2,0.2191617594396427,0.19116311156967242,0.22266254464290414,0.21107907395998204,0.23673420760427097,0.21616013944329446,True
T#1,0.3577521742441059,0.37194737439112857,0.3446766627567601,0.30748303620180084,0.3619508775400348,0.34876202502676606,True
T#2,0.35793458643780496,0.40739652873625726,0.34406902601784456,0.29333388285223083,0.3983497365136814,0.3602167521115638,True
NumValenceElectrons#1,0.24430537149107742,0.26312865609090547,0.2529590694845945,0.24801731709986533,0.2546492784402634,0.25261193852134123,True
NumValenceElectrons#2,0.4213970950511695,0.38568576009088795,0.39437247036675716,0.3307507055280993,0.3978391289020762,0.38600903198779807,True
TPSA#1,0.1911707131875117,0.2023385486591935,0.17855388165238933,0.19657645466606502,0.19243669899430324,0.19221525943189258,False
TPSA#2,0.2047224505788697,0.2233277764024075,0.23170428048539704,0.18542940903211075,0.1965342878543697,0.2083436408706309,True
NumAliphaticCarbocycles#1,0.12048339935949522,0.11187884721439656,0.13198046139315725,0.12937725644189565,0.14033824809780324,0.1268116425013496,False
NumAliphaticCarbocycles#2,0.08574748072951165,0.09816515911664915,0.03466610940340091,0.11948100028357053,0.125133385137627,0.09263862693415184,False
NumAliphaticHeterocycles#1,0.15025224876200197,0.14542773285705962,0.10521292727643217,0.14382173799870415,0.14007134929357337,0.13695719923755426,False
NumAliphaticHeterocycles#2,0.008361088874614602,0.008408237113444895,0.007947249325238723,0.00903826284016925,0.008299473635372347,0.008410862357767963,False
NumAromaticCarbocycles#1,0.13223491112366662,0.13220519267008127,0.12698100748107508,0.1254244372638345,0.13924965324829203,0.1312190403573899,False
NumAromaticCarbocycles#2,0.18653133148347317,0.18639236617645918,0.18897111476050332,0.17384374464598237,0.19968932409525345,0.1870855762323343,False
NumAromaticHeterocycles#1,0.16423244802829726,0.14764745252600947,0.16358308817339548,0.14531717021281898,0.17181282877152837,0.1585185975424099,False
NumAromaticHeterocycles#2,0.017445307910220226,0.008408237113444895,0.017098481745643636,0.01887037781065243,0.01786796651162966,0.015938074218318173,False
NumHAcceptors#1,0.14132570194011138,0.16151312045757155,0.15745940357354934,0.1670985558499055,0.15964447207185123,0.1574082507785978,False
NumHAcceptors#2,0.14726828506340703,0.15391981630685306,0.15080168027883045,0.16142623257933095,0.16688335953298364,0.15605987475228103,False
NumHDonors#1,0.23281728182815867,0.23155911539521054,0.23374955399279587,0.21894135529360395,0.22918716652301005,0.22925089460655582,True
NumHDonors#2,0.14288698003574538,0.14598138939518157,0.1413171877288326,0.14667012792461545,0.1632544930968453,0.14802203563624405,False
NumHeteroatoms#1,0.2617397794199859,0.24711327478968495,0.22094661363468468,0.20300296675994972,0.2087243318619984,0.22830539329326074,True
