,T_EP,X#1,T#1,T#2,NumValenceElectrons#2,NumHeteroatoms#2,MinPartialCharge#1,PMI2#2,PMI3#1,PMI3#2,RadiusOfGyration#2,SpherocityIndex#1,SpherocityIndex#2,Area#2,Volume#2,MolWeight#2,E_vdw#2,mu_gas#2,WAPS#1,WAPS#2,WANS#1,Hb_don#1,ln_gamma_InfD#1,ln_gamma_InfD#2,lny#1,lny#2,s_potential_1#2,s_profile_2#ratio,s_profile_3#ratio,s_profile_4#ratio,s_profile_5#ratio,s_profile_6#ratio,s_profile_7#ratio
T_EP,1.0,-0.5088473369137448,0.5211901535039855,0.48518569558173014,-0.43377431331117666,0.19170583482270226,-0.378667963361339,-0.2502894119766807,0.007505135238348573,-0.2558178655272214,-0.3152181237368732,0.2839064633680721,0.3237063388958896,-0.41171365522678993,-0.4182009968351925,-0.4218468327471971,-0.3925040083692026,-0.39580550796478065,0.28255142193077554,0.47963022001467986,-0.09048201371070361,-0.07188877265465017,-0.07411120893330876,0.008417851910376185,-0.010229519668702914,0.008704625138564844,-0.21898075506471704,-0.21098333726148188,0.5990198515962812,-0.3852079216646556,-0.41913511286866334,0.45220329799537573,0.34032174677453453
X#1,-0.5088473369137448,1.0,-0.09164672812098261,0.0008509715895788634,0.05751485737468386,0.017254496502897444,0.029519329990781662,-0.0043025091127217065,-0.027742314834784,-0.0025409305040650526,0.0014043678260388954,-0.0105754731907054,0.013417489555050923,0.04472137875718672,0.06002517983868635,0.08352975604681587,0.05187618707382255,-0.02335742909728271,0.006921846250779253,-0.022480790278942554,-0.020944566704357372,-0.017144570567859813,0.006784647814839138,-0.04082977304250872,0.02049861536952529,-0.019671326909948883,-0.04824390153509751,0.24914739098108565,-0.34897256119280207,0.12024942903937878,0.20270394774333392,-0.2580692293733591,-0.15167002599438723
T#1,0.5211901535039855,-0.09164672812098261,1.0,0.44332353810366526,-0.45525712779081484,0.2241247942960943,-0.5259647610886486,-0.2629968226579761,-0.19719190687362528,-0.26884348474560316,-0.3316762809435121,0.4903411802132056,0.2110275011785069,-0.42854400295775114,-0.4358196758812614,-0.4231848340682141,-0.40376406464562054,-0.3868435516631122,0.5269323302663426,0.41723727131220345,-0.42829519647938447,0.12011480645419892,-0.2950869620662075,-0.028132181684981886,-0.007752775815104385,0.005283301009012472,-0.11977727246210848,0.16774327840255734,0.45781964659913155,-0.42575851373668516,-0.1864261537090022,0.4963422407220064,0.118872961319672
T#2,0.48518569558173014,0.0008509715895788634,0.44332353810366526,1.0,-0.7150869986616372,0.5225402195986553,-0.25977527768027625,-0.6597796920129309,-0.09242613396217049,-0.6637445326822491,-0.7396580668258024,0.21671919997689656,0.806937857250587,-0.7383147389410297,-0.6730845519374368,-0.5864504039965934,-0.655972571790578,-0.9095857260354195,0.43874874254480606,0.9242838064553999,-0.4110855625507456,0.16816206310449502,-0.299347479941797,-0.2829007742286327,0.0202139111242247,-0.02162468136317788,-0.5686061063659132,0.07239390697799822,0.7112758698693925,-0.6571881216393058,-0.34916137588746043,0.6071156146325566,0.26927927204406754
NumValenceElectrons#2,-0.43377431331117666,0.05751485737468386,-0.45525712779081484,-0.7150869986616372,1.0,-0.4140463573519122,0.34661223577435024,0.7468721598976945,0.09899875415899659,0.7628389834479813,0.8152718803177263,-0.2442476408066953,-0.5279535292041015,0.9852144382779603,0.9936505830964961,0.9658029594539703,0.9770807808467252,0.6755398799245612,-0.39211804173238785,-0.7936923401457846,0.2750731922491493,-0.07208555159597134,0.2154086338817659,0.05399384555191717,-0.016975419509251893,0.01816359426128734,0.19982496931367302,-0.09621919529973348,-0.5111912983489638,0.6199663549023058,0.245826858133106,-0.4775724825720242,-0.15917707694003633
NumHeteroatoms#2,0.19170583482270226,0.017254496502897444,0.2241247942960943,0.5225402195986553,-0.4140463573519122,1.0,-0.2225424352959606,-0.37825610993952236,-0.21980823527903523,-0.3816505594124885,-0.42245800749060164,0.2104516557695741,0.29322121416686137,-0.4756530269784526,-0.45445140791052496,-0.3711061524395117,-0.49794169659905646,-0.601404969475999,0.41786513981298773,0.5944005541860888,-0.41850269315373506,0.19043990419433263,-0.1460595178444238,-0.06260594607369095,0.022717249294420015,-0.022519172516452503,-0.27660394160703,0.1356630769010071,0.5631840697378611,-0.5276294150792035,-0.10746215485280661,0.5516696548649275,0.16817587950625185
MinPartialCharge#1,-0.378667963361339,0.029519329990781662,-0.5259647610886486,-0.25977527768027625,0.34661223577435024,-0.2225424352959606,1.0,0.17477307162821437,0.16302632742987055,0.17973385981555234,0.22261750718035678,-0.4820884108777818,-0.04406258646919346,0.3246947410730387,0.34375200263960726,0.34209671611624665,0.32897230603299177,0.24621957614183398,-0.5826001604648132,-0.261994710580209,0.10363196485153804,0.34826330452644433,-0.08678298925120669,-0.21697113419560887,0.007378647009049911,-0.0064961658868849265,0.027925607461295868,0.1090168634522506,-0.44041865897632515,0.2648969527734792,0.30124160005713346,-0.3849306218203101,-0.20545778015933167
PMI2#2,-0.2502894119766807,-0.0043025091127217065,-0.2629968226579761,-0.6597796920129309,0.7468721598976945,-0.37825610993952236,0.17477307162821437,1.0,-0.018097536972225124,0.9993878505369671,0.9753077540278553,-0.08375682925998158,-0.760610796096613,0.8293817864543057,0.7219443960863762,0.6337827929554257,0.7567942691250986,0.8022034274626796,-0.3297618234278999,-0.739677690033628,0.2771289603463692,-0.12214310232407569,0.2672461595029389,0.3150019506783808,-0.013443655144590522,0.014571070928774677,0.5419463835684889,-0.04485983847481059,-0.5619037773182969,0.5827613516155574,0.3084758563257471,-0.40722187849245955,-0.3206208048241897
PMI3#1,0.007505135238348573,-0.027742314834784,-0.19719190687362528,-0.09242613396217049,0.09899875415899659,-0.21980823527903523,0.16302632742987055,-0.018097536972225124,1.0,-0.013445775376615657,0.01593243835858712,-0.5444567879698965,0.11246502238301616,0.10100341918752331,0.11998306624613295,0.057110548819926416,0.12689242023875535,0.04020281745979269,-0.574616342569858,-0.0202817151794995,0.6346893832638282,-0.17153194678800268,0.25033999051539824,-0.06724796188435218,0.054090628430041046,-0.051125798663784125,-0.1387074773007337,-0.3514256407079446,-0.1934424524427115,0.6035893274934512,-0.0441789082452847,-0.23881573297038355,0.10341620041365077
PMI3#2,-0.2558178655272214,-0.0025409305040650526,-0.26884348474560316,-0.6637445326822491,0.7628389834479813,-0.3816505594124885,0.17973385981555234,0.9993878505369671,-0.013445775376615657,1.0,0.9768711108028701,-0.08832482224787302,-0.759701631936203,0.8419254711617066,0.7383426534754397,0.650440922841452,0.771287066032669,0.803095352497132,-0.33331892365252175,-0.746725184421022,0.2788410975892023,-0.12156813307451123,0.26525928557007517,0.30632875408425303,-0.013570959337503572,0.014694637481390344,0.5301260740926783,-0.04669555839011118,-0.5623883271461505,0.5887146923266917,0.30979099949274713,-0.4114045349513325,-0.3161989539670506
RadiusOfGyration#2,-0.3152181237368732,0.0014043678260388954,-0.3316762809435121,-0.7396580668258024,0.8152718803177263,-0.42245800749060164,0.22261750718035678,0.9753077540278553,0.01593243835858712,0.9768711108028701,1.0,-0.14115184959763477,-0.7844906090394803,0.8904064943583815,0.7923478170494721,0.7014285996549565,0.8225556279240329,0.84607749517867,-0.3892385213336806,-0.8089169483498518,0.3263039683592847,-0.12763681263340082,0.29653634122652606,0.2964754310678291,-0.014544080193087228,0.015906345268040196,0.547116523936436,-0.09167988457836063,-0.6035217139461121,0.6417071180834816,0.3216008541812371,-0.4512700303090822,-0.3325900597906702
SpherocityIndex#1,0.2839064633680721,-0.0105754731907054,0.4903411802132056,0.21671919997689656,-0.2442476408066953,0.2104516557695741,-0.4820884108777818,-0.08375682925998158,-0.5444567879698965,-0.08832482224787302,-0.14115184959763477,1.0,-0.027663282124267257,-0.23322568370323687,-0.25261239542577785,-0.21188033434810657,-0.2484448240451464,-0.1783039878314631,0.6158513563022963,0.16301007998283967,-0.32561488347735895,-0.14025643334317722,-0.10538482262610768,0.2735123885242979,-0.02740860203395772,0.02586899751010678,-0.008367450371304574,0.18552549516721484,0.32342113492847746,-0.4271430611947086,-0.2611801526363293,0.32359930446838253,0.14657694632465798
SpherocityIndex#2,0.3237063388958896,0.013417489555050923,0.2110275011785069,0.806937857250587,-0.5279535292041015,0.29322121416686137,-0.04406258646919346,-0.760610796096613,0.11246502238301616,-0.759701631936203,-0.7844906090394803,-0.027663282124267257,1.0,-0.5938562330938729,-0.47152950840262225,-0.3979058553124342,-0.4778674887877911,-0.861095807014325,0.23643510175303112,0.8355283668997695,-0.24806758722101194,0.14512437645487064,-0.289373232859548,-0.47859318584059934,0.011411716918448786,-0.012420118820580346,-0.753214254486863,-0.0918480095942401,0.6050871700545698,-0.47579561090847317,-0.42146307477462375,0.3639484121984509,0.4337483735416755
Area#2,-0.41171365522678993,0.04472137875718672,-0.42854400295775114,-0.7383147389410297,0.9852144382779603,-0.4756530269784526,0.3246947410730387,0.8293817864543057,0.10100341918752331,0.8419254711617066,0.8904064943583815,-0.23322568370323687,-0.5938562330938729,1.0,0.9825169909554436,0.9337601471124141,0.9850694653945647,0.7355898850808616,-0.41350631725456216,-0.8198178749886282,0.31225833531643943,-0.09659833017600351,0.24511432288433266,0.10710521140298239,-0.017415750718567824,0.01861308311503491,0.28570034181912285,-0.10772794407688918,-0.5549483564095169,0.659376703945137,0.2558261586987071,-0.48919634544145335,-0.2090495161731415
Volume#2,-0.4182009968351925,0.06002517983868635,-0.4358196758812614,-0.6730845519374368,0.9936505830964961,-0.45445140791052496,0.34375200263960726,0.7219443960863762,0.11998306624613295,0.7383426534754397,0.7923478170494721,-0.25261239542577785,-0.47152950840262225,0.9825169909554436,1.0,0.9737103697606457,0.9916297978818869,0.6345867936738921,-0.38912182037488835,-0.7630735462161233,0.27364443526844273,-0.06956998531650353,0.20633864005856126,0.0214628871707657,-0.016754817643386672,0.017825389713734575,0.15692620822970177,-0.10572138687036717,-0.4871799835486806,0.613876806260391,0.21269887894678935,-0.45661137590098766,-0.1533476870942737
MolWeight#2,-0.4218468327471971,0.08352975604681587,-0.4231848340682141,-0.5864504039965934,0.9658029594539703,-0.3711061524395117,0.34209671611624665,0.6337827929554257,0.057110548819926416,0.650440922841452,0.7014285996549565,-0.21188033434810657,-0.3979058553124342,0.9337601471124141,0.9737103697606457,1.0,0.9552591942703237,0.535598298220265,-0.30789173975852185,-0.7164454360685503,0.17094412383822818,-0.030602048589553052,0.18360348783703118,0.02321764949814989,-0.015234392640705911,0.016265368278394803,0.11101630027329107,-0.03354433863980715,-0.41083070186428694,0.5046725249314346,0.2041151008860886,-0.38783952293790214,-0.14850925900545847
E_vdw#2,-0.3925040083692026,0.05187618707382255,-0.40376406464562054,-0.655972571790578,0.9770807808467252,-0.49794169659905646,0.32897230603299177,0.7567942691250986,0.12689242023875535,0.771287066032669,0.8225556279240329,-0.2484448240451464,-0.4778674887877911,0.9850694653945647,0.9916297978818869,0.9552591942703237,1.0,0.6438623246582524,-0.3964351488631532,-0.7565005311538068,0.2896243555075067,-0.08041156547925139,0.22180894644835972,0.040847885812568985,-0.01615297467263262,0.017202276611991196,0.1922003022164775,-0.11937182717463934,-0.4903292785721981,0.62544101859724,0.2091479770827055,-0.4408501125248605,-0.1899854231822745
mu_gas#2,-0.39580550796478065,-0.02335742909728271,-0.3868435516631122,-0.9095857260354195,0.6755398799245612,-0.601404969475999,0.24621957614183398,0.8022034274626796,0.04020281745979269,0.803095352497132,0.84607749517867,-0.1783039878314631,-0.861095807014325,0.7355898850808616,0.6345867936738921,0.535598298220265,0.6438623246582524,1.0,-0.44329057178296905,-0.9361732406613942,0.4100782551264797,-0.16494517109202253,0.306765512821084,0.3575642841855995,-0.01906879424437882,0.020464839894334546,0.7130269505915487,-0.06773917990859056,-0.7427045675863372,0.6479337850564373,0.4249792104781796,-0.5840911184760748,-0.4029304046677019
WAPS#1,0.28255142193077554,0.006921846250779253,0.5269323302663426,0.43874874254480606,-0.39211804173238785,0.41786513981298773,-0.5826001604648132,-0.3297618234278999,-0.574616342569858,-0.33331892365252175,-0.3892385213336806,0.6158513563022963,0.23643510175303112,-0.41350631725456216,-0.38912182037488835,-0.30789173975852185,-0.3964351488631532,-0.44329057178296905,1.0,0.40947725658266687,-0.7107892978389403,0.13522057912150684,-0.24720301205873924,0.09194007626080317,-0.027286212818943403,0.025042456766156334,-0.20529483597463125,0.4175096584073736,0.5699723834722418,-0.7150847590734573,-0.33593204614890587,0.6007217661565379,0.23296459537406544
WAPS#2,0.47963022001467986,-0.022480790278942554,0.41723727131220345,0.9242838064553999,-0.7936923401457846,0.5944005541860888,-0.261994710580209,-0.739677690033628,-0.0202817151794995,-0.746725184421022,-0.8089169483498518,0.16301007998283967,0.8355283668997695,-0.8198178749886282,-0.7630735462161233,-0.7164454360685503,-0.7565005311538068,-0.9361732406613942,0.40947725658266687,1.0,-0.35285631056806355,0.1487948854003349,-0.30843238392928407,-0.3337431111078604,0.019248141444451493,-0.020609993448242613,-0.6401453939185001,0.015402190874014078,0.7109690459264928,-0.6282320100352725,-0.4158044872437187,0.5635863016966727,0.3948523192082958
WANS#1,-0.09048201371070361,-0.020944566704357372,-0.42829519647938447,-0.4110855625507456,0.2750731922491493,-0.41850269315373506,0.10363196485153804,0.2771289603463692,0.6346893832638282,0.2788410975892023,0.3263039683592847,-0.32561488347735895,-0.24806758722101194,0.31225833531643943,0.27364443526844273,0.17094412383822818,0.2896243555075067,0.4100782551264797,-0.7107892978389403,-0.35285631056806355,1.0,-0.6234974919857436,0.5604658337023504,0.25139851609786507,0.02891994176418093,-0.02579729722908462,0.19602190330280983,-0.5934694363709753,-0.4364667612124778,0.7480212061933283,-0.006732184387648218,-0.5168886678417445,-0.015597854347403716
Hb_don#1,-0.07188877265465017,-0.017144570567859813,0.12011480645419892,0.16816206310449502,-0.07208555159597134,0.19043990419433263,0.34826330452644433,-0.12214310232407569,-0.17153194678800268,-0.12156813307451123,-0.12763681263340082,-0.14025643334317722,0.14512437645487064,-0.09659833017600351,-0.06956998531650353,-0.030602048589553052,-0.08041156547925139,-0.16494517109202253,0.13522057912150684,0.1487948854003349,-0.6234974919857436,1.0,-0.6773100476215257,-0.5284160449437048,-0.0033261118378293685,0.001102874957107323,-0.07894364525752896,0.45272022714132837,0.09530024296158492,-0.30198461305580054,0.2457409982950485,0.31444820884758434,-0.16958706493850487
