Component#1,Component#2,Smiles#1,Smiles#2,X#1,T_EP,Phase_diagram,Solubility#1,Solubility#2,groups,T#1,T#2,NumValenceElectrons#1,NumValenceElectrons#2,TPSA#1,TPSA#2,NumAliphaticCarbocycles#1,NumAliphaticCarbocycles#2,NumAliphaticHeterocycles#1,NumAliphaticHeterocycles#2,NumAromaticCarbocycles#1,NumAromaticCarbocycles#2,NumAromaticHeterocycles#1,NumAromaticHeterocycles#2,NumHAcceptors#1,NumHAcceptors#2,NumHDonors#1,NumHDonors#2,NumHeteroatoms#1,NumHeteroatoms#2,NumRotatableBonds#1,NumRotatableBonds#2,MaxPartialCharge#1,MaxPartialCharge#2,MinPartialCharge#1,MinPartialCharge#2,BalabanJ#1,BalabanJ#2,BCUT2D_MWHI#1,BCUT2D_MWHI#2,BCUT2D_MWLOW#1,BCUT2D_MWLOW#2,BCUT2D_CHGHI#1,BCUT2D_CHGHI#2,BCUT2D_CHGLO#1,BCUT2D_CHGLO#2,BCUT2D_LOGPHI#1,BCUT2D_LOGPHI#2,BCUT2D_LOGPLOW#1,BCUT2D_LOGPLOW#2,BCUT2D_MRHI#1,BCUT2D_MRHI#2,BCUT2D_MRLOW#1,BCUT2D_MRLOW#2,fr_Al_COO#1,fr_Al_COO#2,fr_Al_OH#1,fr_Al_OH#2,fr_Ar_COO#1,fr_Ar_COO#2,fr_Ar_N#1,fr_Ar_N#2,fr_Ar_OH#1,fr_Ar_OH#2,fr_C_O_noCOO#1,fr_C_O_noCOO#2,fr_NH0#1,fr_NH0#2,fr_NH1#1,fr_NH1#2,fr_NH2#1,fr_NH2#2,fr_Ndealkylation1#1,fr_Ndealkylation1#2,fr_amide#1,fr_amide#2,fr_halogen#1,fr_halogen#2,fr_phenol#1,fr_phenol#2,fr_quatN#1,fr_quatN#2,PMI1#1,PMI1#2,PMI2#1,PMI2#2,PMI3#1,PMI3#2,NPR1#1,NPR1#2,NPR2#1,NPR2#2,RadiusOfGyration#1,RadiusOfGyration#2,InertialShapeFactor#1,InertialShapeFactor#2,Eccentricity#1,Eccentricity#2,Asphericity#1,Asphericity#2,SpherocityIndex#1,SpherocityIndex#2,Area#1,Area#2,sig2#1,sig2#2,sig3#1,sig3#2,sig4#1,sig4#2,sig5#1,sig5#2,sig6#1,sig6#2,Volume#1,Volume#2,MolWeight#1,MolWeight#2,E_diel#1,E_diel#2,E_vdw#1,E_vdw#2,E_ring#1,E_ring#2,mu_gas#1,mu_gas#2,WAPS#1,WAPS#2,WANS#1,WANS#2,E_COSMO#1,E_COSMO#2,COSMO_charge#1,COSMO_charge#2,Dipole_moment#1,Dipole_moment#2,Hb_acc#1,Hb_acc#2,Hb_don#1,Hb_don#2,ln_gamma_InfD#1,ln_gamma_InfD#2,lny#1,lny#2,s_potential_1#1,s_potential_1#2,s_potential_2#1,s_potential_2#2,s_potential_3#1,s_potential_3#2,s_profile_1#ratio,s_profile_2#ratio,s_profile_3#ratio,s_profile_4#ratio,s_profile_5#ratio,s_profile_6#ratio,s_profile_7#ratio
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,525.7,Yes,11.66775688068284,857.0627672707185,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.20185791833899283,0.002983855354159877,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.21459333333333339,7.362493333333334,2.877595,0.9197233333333333,3.44447,0.20855666666666633
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.102,525.6,Yes,11.927617835709183,838.3903758269121,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.20080629885331897,0.003102001451739551,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.21481786666666672,7.359447866666667,2.885393066666666,0.9183224666666666,3.4413374,0.2096984666666663
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.202,478.8,Yes,26.58143108907444,376.20246880199846,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.15261192982566132,0.01170853167988462,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.2260445333333334,7.207174533333335,3.2752963999999998,0.8482791333333333,3.2847074000000003,0.2667884666666663
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.203,478.9,Yes,26.746539298629298,373.8801453282772,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.15217192147343866,0.011820257905779778,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.22615680000000005,7.2056518,3.279195433333333,0.8475786999999999,3.2831410999999995,0.26735936666666626
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.301,425.5,Yes,45.218817438869536,221.1468712891223,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.11281575328812345,0.025047557500998983,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.23715893333333343,7.056423933333334,3.6613007,0.7789362333333334,3.1296437,0.3233075666666662
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.302,427.6,Yes,45.434044701570144,220.09926841610056,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.11245129488882125,0.025204872007933372,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.23727120000000004,7.0549012,3.665199733333333,0.7782357999999998,3.1280773999999996,0.3238784666666662
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.399,377.5,Yes,69.71533270970397,143.44046870779775,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.08043616410258782,0.042448778134721234,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.24816106666666676,6.907196066666668,4.043405966666667,0.7102937666666665,2.9761462999999995,0.37925576666666616
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,377.0,Yes,70.00654128409704,142.84379454511972,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.08013938913866267,0.04264621622878948,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.24827333333333343,6.905673333333334,4.047305,0.7095933333333333,2.9745799999999996,0.37982666666666615
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.499,337.1,Yes,104.590611080133,95.61087650915827,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.05390535888520014,0.06402868408052924,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.2593877333333334,6.754922733333334,4.4333092999999995,0.6402504333333332,2.8195162999999996,0.4363457666666661
[C2Mim]Cl,ChCl,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.503,337.1,Yes,106.27753601378517,94.09326161553945,0.0,350.42,578.15,52.0,52.0,8.809999999999999,20.23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.2430186993463524,0.2103437495606454,-1.0,-1.0,3.6099981589009737e-06,0.0,-7.591455832025524e-17,-7.527660289915033e-16,-0.2482530771283269,-0.2443222032473248,-0.06692216991755,-0.1277082342521553,-2.3754538422838127,-2.741983657945735,-0.1089333171104848,-0.1331774153258756,-2.9960048495991067,-2.996006796406357,-2.117973828244653e-17,-1.464445876815095e-16,-1.218754673793232,-1.486557666870198,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,363.633757103962,235.20201679288976,576.5757598795844,572.4474650327294,891.838124076017,671.169096462905,0.4077351565125143,0.3504363029114663,0.6465027052717015,0.8529109401037032,2.499512396818508,2.301226162593521,0.001777895183386,0.003626290929532,0.9131002366354504,0.936586567062406,0.2524935585869666,0.2867503025922531,0.2017205339207315,0.6212629141768793,194.5083,177.0496,168.6503,171.9745,150.1987,120.106,366.9612,311.401,516.4219,376.8907,988.3753,713.9818,194.9906,188.1524,146.6187,139.6245,-41.9461,-43.9005,7.9151,6.901,-0.9446,0.0,-15.5336,-16.944,0.0125352715717579,0.012944750992983,-0.0057122170924579,-0.006715318077112,-28.7443,-30.0852,0.0107,0.0093,17.527,18.3247,18.9693,15.0395,0.3316,0.229,0.25914,0.21643,0.05297187304386986,0.06496590865509728,-0.0063296666666666,-0.004758,-0.0005234166666666,-0.000482,0.0001123333333333,-0.000507,0.0,0.2598368000000001,6.7488318000000005,4.4489054333333335,0.6374487,2.8132510999999996,0.438629366666666
