Component#1,inchi#1,Smiles#1,H#1,T#1,Component#2,inchi#2,Smiles#2,H#2,T#2,T_EP,X#1,Phase_diagram
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,525.7,0.1,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,525.6,0.102,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,478.8,0.202,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,478.9,0.203,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,425.5,0.301,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,427.6,0.302,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,377.5,0.399,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,377,0.4,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,337.1,0.499,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,337.1,0.503,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,303.5,0.599,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,303.4,0.6,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,322.5,0.699,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,321.5,0.701,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,333.4,0.798,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,334.3,0.8,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,344.1,0.897,Yes
[C2Mim]Cl,BMQZYMYBQZGEEY-UHFFFAOYSA-M,CCn1cc[n+](C)c1.[Cl-],8.588,350.42,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,343.5,0.9,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,517.4,0.101,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,517.5,0.101,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,473.6,0.201,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,473.9,0.203,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,403.2,0.301,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,404,0.301,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,351.7,0.4,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,352,0.4,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,323.5,0.499,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,323.5,0.501,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,333.7,0.6,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,333.5,0.602,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,340.5,0.698,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,340.9,0.699,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,345.5,0.799,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,346.1,0.8,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,352.6,0.898,Yes
[C2Ohmim]Cl,QVRFXIWAQRNWEX-UHFFFAOYSA-M,C[n+]1ccn(CCO)c1.[Cl-],20.974,358.88,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,352.8,0.9,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,560.7,0.055,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,546.4,0.09,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,547,0.09,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,528.9,0.133,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,493.5,0.195,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,493.5,0.2,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,456.6,0.283,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,456.7,0.285,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,419.9,0.374,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,419.6,0.378,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,430,0.463,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,429.4,0.477,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,437.3,0.569,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,437.8,0.572,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,445.9,0.677,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,445.5,0.685,Yes
[C4Mpyr]Cl,BOOXKGZZTBKJFE-UHFFFAOYSA-M,CCCC[N+]1(C)CCCC1.[Cl-],30.896,472.98,ChCl,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C[N+](C)(C)CCO.[Cl-],4.3,578.15,458.6,0.788,Yes
