
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.02336    -0.00100     0.02259     0.00435    -0.40286    -0.25642 ;

   sigma     mu(1)
  -0.030    -0.391
  -0.029    -0.374
  -0.028    -0.355
  -0.027    -0.335
  -0.026    -0.314
  -0.025    -0.292
  -0.024    -0.269
  -0.023    -0.244
  -0.022    -0.219
  -0.021    -0.193
  -0.020    -0.167
  -0.019    -0.140
  -0.018    -0.114
  -0.017    -0.090
  -0.016    -0.067
  -0.015    -0.048
  -0.014    -0.032
  -0.013    -0.021
  -0.012    -0.014
  -0.011    -0.011
  -0.010    -0.011
  -0.009    -0.012
  -0.008    -0.015
  -0.007    -0.019
  -0.006    -0.023
  -0.005    -0.026
  -0.004    -0.028
  -0.003    -0.029
  -0.002    -0.029
  -0.001    -0.029
   0.000    -0.027
   0.001    -0.025
   0.002    -0.022
   0.003    -0.019
   0.004    -0.015
   0.005    -0.011
   0.006    -0.007
   0.007    -0.003
   0.008     0.002
   0.009     0.006
   0.010     0.002
   0.011    -0.007
   0.012    -0.019
   0.013    -0.035
   0.014    -0.055
   0.015    -0.078
   0.016    -0.104
   0.017    -0.131
   0.018    -0.158
   0.019    -0.187
   0.020    -0.215
   0.021    -0.244
   0.022    -0.272
   0.023    -0.299
   0.024    -0.326
   0.025    -0.352
   0.026    -0.378
   0.027    -0.402
   0.028    -0.426
   0.029    -0.448
   0.030    -0.470
