
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.00191     0.01168    -0.00450    -0.01135    -0.04368    -0.69215 ;

   sigma     mu(1)
  -0.030    -1.075
  -0.029    -1.021
  -0.028    -0.966
  -0.027    -0.909
  -0.026    -0.852
  -0.025    -0.794
  -0.024    -0.736
  -0.023    -0.676
  -0.022    -0.617
  -0.021    -0.557
  -0.020    -0.497
  -0.019    -0.437
  -0.018    -0.377
  -0.017    -0.318
  -0.016    -0.261
  -0.015    -0.205
  -0.014    -0.153
  -0.013    -0.104
  -0.012    -0.062
  -0.011    -0.029
  -0.010    -0.004
  -0.009     0.012
  -0.008     0.020
  -0.007     0.018
  -0.006     0.013
  -0.005     0.009
  -0.004     0.005
  -0.003     0.000
  -0.002    -0.003
  -0.001    -0.006
   0.000    -0.009
   0.001    -0.012
   0.002    -0.014
   0.003    -0.015
   0.004    -0.016
   0.005    -0.016
   0.006    -0.015
   0.007    -0.014
   0.008    -0.013
   0.009    -0.010
   0.010    -0.011
   0.011    -0.012
   0.012    -0.014
   0.013    -0.017
   0.014    -0.022
   0.015    -0.030
   0.016    -0.041
   0.017    -0.055
   0.018    -0.072
   0.019    -0.092
   0.020    -0.114
   0.021    -0.139
   0.022    -0.166
   0.023    -0.194
   0.024    -0.223
   0.025    -0.252
   0.026    -0.282
   0.027    -0.312
   0.028    -0.342
   0.029    -0.372
   0.030    -0.401
