
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.04196     0.01167     0.06267    -0.00779    -0.57160    -0.25461 ;

   sigma     mu(1)
  -0.030     0.081
  -0.029     0.077
  -0.028     0.074
  -0.027     0.071
  -0.026     0.070
  -0.025     0.069
  -0.024     0.069
  -0.023     0.069
  -0.022     0.068
  -0.021     0.067
  -0.020     0.066
  -0.019     0.064
  -0.018     0.060
  -0.017     0.056
  -0.016     0.051
  -0.015     0.044
  -0.014     0.037
  -0.013     0.029
  -0.012     0.021
  -0.011     0.012
  -0.010     0.004
  -0.009    -0.003
  -0.008    -0.011
  -0.007    -0.018
  -0.006    -0.025
  -0.005    -0.030
  -0.004    -0.035
  -0.003    -0.039
  -0.002    -0.041
  -0.001    -0.043
   0.000    -0.043
   0.001    -0.043
   0.002    -0.041
   0.003    -0.039
   0.004    -0.035
   0.005    -0.030
   0.006    -0.025
   0.007    -0.018
   0.008    -0.010
   0.009    -0.002
   0.010     0.004
   0.011     0.007
   0.012     0.006
   0.013    -0.003
   0.014    -0.021
   0.015    -0.049
   0.016    -0.085
   0.017    -0.128
   0.018    -0.175
   0.019    -0.224
   0.020    -0.274
   0.021    -0.324
   0.022    -0.373
   0.023    -0.423
   0.024    -0.471
   0.025    -0.519
   0.026    -0.565
   0.027    -0.611
   0.028    -0.655
   0.029    -0.699
   0.030    -0.741
