
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.01926     0.03418     0.01617    -0.00807    -0.61109    -0.24549 ;

   sigma     mu(1)
  -0.030    -0.272
  -0.029    -0.262
  -0.028    -0.251
  -0.027    -0.240
  -0.026    -0.227
  -0.025    -0.215
  -0.024    -0.201
  -0.023    -0.187
  -0.022    -0.173
  -0.021    -0.159
  -0.020    -0.145
  -0.019    -0.131
  -0.018    -0.117
  -0.017    -0.103
  -0.016    -0.090
  -0.015    -0.078
  -0.014    -0.066
  -0.013    -0.056
  -0.012    -0.047
  -0.011    -0.039
  -0.010    -0.033
  -0.009    -0.028
  -0.008    -0.024
  -0.007    -0.025
  -0.006    -0.026
  -0.005    -0.027
  -0.004    -0.027
  -0.003    -0.027
  -0.002    -0.026
  -0.001    -0.025
   0.000    -0.023
   0.001    -0.020
   0.002    -0.017
   0.003    -0.014
   0.004    -0.010
   0.005    -0.006
   0.006    -0.001
   0.007     0.004
   0.008     0.010
   0.009     0.016
   0.010     0.014
   0.011     0.007
   0.012    -0.009
   0.013    -0.036
   0.014    -0.074
   0.015    -0.123
   0.016    -0.179
   0.017    -0.240
   0.018    -0.304
   0.019    -0.369
   0.020    -0.435
   0.021    -0.502
   0.022    -0.568
   0.023    -0.635
   0.024    -0.700
   0.025    -0.765
   0.026    -0.829
   0.027    -0.892
   0.028    -0.954
   0.029    -1.015
   0.030    -1.075
