
 Sigma potentials mu(s):

 mu(1): Sigma potential (s [e/A^2], mu(s) [kcal/mol A^2]) Settings: T= 298.15 K, ; x(1)= 1.0000 ;  Sigma potential coefficients:     -0.04089     0.02775     0.06998    -0.01607    -0.57823    -0.52688 ;

   sigma     mu(1)
  -0.030    -0.213
  -0.029    -0.204
  -0.028    -0.194
  -0.027    -0.184
  -0.026    -0.172
  -0.025    -0.159
  -0.024    -0.145
  -0.023    -0.130
  -0.022    -0.115
  -0.021    -0.099
  -0.020    -0.082
  -0.019    -0.066
  -0.018    -0.051
  -0.017    -0.036
  -0.016    -0.023
  -0.015    -0.012
  -0.014    -0.004
  -0.013     0.000
  -0.012     0.003
  -0.011     0.003
  -0.010     0.000
  -0.009    -0.004
  -0.008    -0.009
  -0.007    -0.016
  -0.006    -0.023
  -0.005    -0.028
  -0.004    -0.033
  -0.003    -0.037
  -0.002    -0.040
  -0.001    -0.041
   0.000    -0.042
   0.001    -0.042
   0.002    -0.040
   0.003    -0.037
   0.004    -0.034
   0.005    -0.029
   0.006    -0.023
   0.007    -0.015
   0.008    -0.007
   0.009     0.002
   0.010     0.011
   0.011     0.018
   0.012     0.021
   0.013     0.019
   0.014     0.006
   0.015    -0.020
   0.016    -0.059
   0.017    -0.108
   0.018    -0.162
   0.019    -0.221
   0.020    -0.280
   0.021    -0.341
   0.022    -0.401
   0.023    -0.461
   0.024    -0.520
   0.025    -0.579
   0.026    -0.637
   0.027    -0.694
   0.028    -0.749
   0.029    -0.804
   0.030    -0.857
